RT,Compound Name,CAS#,Formula,Area MI, Match Score,Sample,Sample
6.4713,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,1354188,93.5,0.09,0.66
6.8687,Lactic Acid,17596-96-2,C9H2203Si2,9035527,94.7,0.61,4.43
7.0804,Glycolic acid,33581-77-0,C8H2003Si2,1539390,98.4,0.1,0.75
7.5057,L-Alanine,27844-07-1,C9H23NO2Si2,21860180,97.8,1.48,10.71
8.0806,Oxalic acid,18294-04-7,C8H1804Si2,19930953,82,1.35,9.77
8.2605,L-Leucine,1000333-25-0,C9H21NO2Si,1325925,91.4,0.09,0.65
8.3617,Propanoic acid,55530-42-2,C10H2403Si2,558652,96.2,0.04,0.27
8.4413,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,2943149,97.9,0.2,1.44
8.8711,"Pyrrolidine, 2-butyl-1-methyl-",3447-03-8,C9H19N,1722178,94.6,0.12,0.84
9.201,L-Valine,7364-44-5,C11H27NO2Si2,26048653,99.6,1.77,12.76
9.3484,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,15617288,99.8,1.06,7.65
9.5989,Benzoic Acid,2078-12-8,C10H1402Si,8694950,98.5,0.59,4.26
9.7697,Serine,70125-39-2,C9H23NO3Si2,1834882,95.9,0.12,0.9
9.8528,"N-Methyl-L-proline, pentyl ester",1000452-77-3,C11H21NO2,2133060,89.5,0.14,1.05
9.9288,delta. Amino levulinic acid tri-,1000141-47-1,C14H33NO3Si3,4758801,95.3,0.32,2.33
10.0481,Glycerol,6787-10-6,C12H3203Si3,192884665,99.6,13.1,94.5
10.0619,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H2704PSi3,19337897,93.3,1.31,9.47
10.2475,Niacin,25436-37-7,C9H13NO2Si,1097578,96.2,0.07,0.54
10.3095,L-Isoleucine,7483-92-3,C12H29NO2Si2,22620020,91.8,1.54,11.08
10.3581,L-Proline,7364-47-8,C11H25NO2Si2,15849059,89.4,1.08,7.77
10.4952,Glycine,5630-82-0,C11H29NO2Si3,313985,87.5,0.02,0.15
10.5206,Butanedioic acid,40309-57-7,C10H2204Si2,48468295,99.5,3.29,23.75
10.8426,Glyceric acid,38191-87-6,C12H3004Si3,6168053,98.9,0.42,3.02
10.9549,"2-Butenedioic acid, (E)-",17962-03-7,C10H2004Si2,7610030,92.1,0.52,3.73
11.0481,"2,3-Dihydroxybutanoic acid",38165-91-2,C13H3204Si3,4068091,96,0.28,1.99
11.24,Serine,64625-17-8,C12H31NO3Si3,3807650,95.2,0.26,1.87
11.6121,L-Threonine,7537-02-2,C13H33NO3Si3,6292478,97.4,0.43,3.08
11.9235,Butanoic acid,55191-52-1 ,C13H3204Si3,316773,90.8,0.02,0.16
12.009,L-Aspartic acid,1000333-28-8,C10H23NO4Si2,466299,91.1,0.03,0.23
12.8946,Malic acid,38166-11-9,C13H3005Si3,133938639,99.6,9.1,65.62
13.0793,Trigonelline,1000141-35-2,C10H16NO2Si,129301,85,0.01,0.06
13.1653,Salicylic acid,3789-85-3,C13H2203Si2,913408,91.6,0.06,0.45
13.2075,Meso-Erythritol,1000380-15-5,C16H4204Si4,49358924,93.6,3.35,24.18
13.2892,L-Aspartic acid,55268-53-6,C13H31NO4Si3,704865,81.1,0.05,0.35
13.3068,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,86547554,98.3,5.88,42.4
13.3484,L-Glutamic acid,5269-43-2,C11H25NO4Si2,1149069,85.3,0.08,0.56
13.3896,4-Aminobutyric acid,1000386-39-6,C13H33NO2Si3,19000426,95.4,1.29,9.31
13.9277,Pentanedioic acid,55530-62-6,C14H3205Si3,973774,93.8,0.07,0.48
14.0425,Ecgonine methyl ester,1000417-19-3,C13H25NO3Si,25762875,78.1,1.75,12.62
14.2696,Pentanedioic acid,55590-95-9,C15H3405Si3,1641765,90.3,0.11,0.8
14.4601,L-Glutamic acid,15985-07-6,C14H33N04Si3,3069276,95.9,0.21,1.5
14.5039,3-Hydroxybenzoic acid,3782-84-1,C13H2203Si2,43795,83.6,0,0.02
14.566,L-Phenylalanine,7364-51-4,C15H27NO2Si2,2173853,94.3,0.15,1.07
14.6559,Xylonic acid,32384-59-1,C14H3205Si3,4418741,96.1,0.3,2.16
14.6903,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,27311303,98.6,1.85,13.38
14.9355,Ecgonine,1000417-19-4,C15H31NO3Si2,94063961,91.6,6.39,46.09
15.0699,Asparagine,55649-62-2,C13H32N203Si 3,1338451,92.2,0.09,0.66
15.4999,Xylitol,14199-72-5,C20H5205Si5,1102345,94.8,0.07,0.54
15.7554,L-(-)-Arabitol,1000380-37-6,C20H5205Si5,61411664,98.5,4.17,30.09
16.2688,2-Keto-l-gluconic acid,1000059-82-4,C21 HSO07Si5,1693282,89.8,0.12,0.83
16.5887,Shikimic acid,55520-78-0,C19H4205Si4,739243,84,0.05,0.36
16.6754,Protocatechoic acid,2347-40-2,C16H3004Si3,381505,81.2,0.03,0.19
16.7604,Citric acid,14330-97-3,C18H4007Si4,2646067,97.2,0.18,1.3
16.8407,Myristic acid,18603-17-3,C17H3602Si,813787,82.7,0.06,0.4
17.1845,Adenine,17995-04-9,C11H21N5Si2,597661,83.9,0.04,0.29
17.2752,quinic acid(S),77-95-2,C22H5206Si5,204101969,90.7,13.86,100
17.4149,D-Fructose,56196-14-6,C22H55NO6Si5,2076440,94.9,0.14,1.02
17.4815,Gulonic acid,55528-75-1,C18H4206Si4,7645773,93.8,0.52,3.75
17.6133,Gulonic acid,55528-75-1,C18H4206Si4,4853483,87.5,0.33,2.38
17.6854,D-Allose,1000380-19-8,C22H55N06Si 5,5580918,91.4,0.38,2.73
17.8259,D-(+)-Glucosamine,1000141-26-9,C24H61 NO5Si 6,1688255,82.9,0.11,0.83
18.0191,D-Mannitol,14317-07-8,C24H6206Si6,64187270,95.7,4.36,31.45
18.7391,D-Gluconic acid,34290-52-3,C24H6007Si6,1913520,92.3,0.13,0.94
18.7901,Palmitic Acid,55520-89-3,C19H4002Si,16767305,98.9,1.14,8.22
19.5318,Methyl Stearate,112-61-8,C19H3802,5951358,94.7,0.4,2.92
19.5519,Myo-Inositol,2582-79-8,C24H6006Si6,13304108,96.4,0.9,6.52
19.7455,Caffeic acid,501-16-6,C18H3204Si3,386540,84.5,0.03,0.19
19.8277,D-Allose,1000380-40-9,C24H61 NO6Si 6,2698916,93.4,0.18,1.32
20.0088,Phytol,57397-39-4,C23H480Si,2831464,95.3,0.19,1.39
20.3957,alpha-Linolenic acid,97844-13-8,C21 H3802Si,5030031,80.4,0.34,2.46
20.4847,"13-Octadecenoic acid, (E)-",1000333-61-7,C21 H4202Si,2882904,89.5,0.2,1.41
20.5787,Stearic acid,18748-91-9,C21 H4402Si,7591086,97.6,0.52,3.72
20.7526,Cocaine,50-36-2,C17H21N04,99466824,99,6.76,48.73
21.244,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,3456997,94.1,0.23,1.69
21.3354,Benzoylecgonine,864281-94-7,C19H27NO4Si,13815863,97,0.94,6.77
21.3548,Glucopyranose,1000157-49-7,C21H5206Si5,3858742,83.7,0.26,1.89
21.5258,Glyceryl-glycoside ether,1000365-90-1,C27H6608Si6,1935472,92.9,0.13,0.95
21.6232,"9-Octadecenamide, (Z)-",301-02-0,C18H35N0,1684541,82.1,0.11,0.83
21.9151,Glucopyranose,1000157-49-7,C21H5206Si5,4808854,82.7,0.33,2.36
22.0428,Oleamide,1000308-88-0,C21H43NOSi,9207799,91.8,0.63,4.51
22.2541,abietic acid,514-10-3,C23H3802Si,1510185,87.4,0.1,0.74
