RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4708,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,206763,80.5,0.0700,0.2000
6.4805,2-Hydroxypyridine,142-08-5,C8H13NOSi,1620115,92.2,0.5600,1.5800
6.8689,Lactic Acid,17596-96-2,C9H22O3Si2,1887858,93.3,0.6600,1.8400
7.0801,Glycolic acid,33581-77-0,C8H2003Si2,256573,83,0.0900,0.2500
8.0804,Oxalic acid,18294-04-7,C8H1804Si 2,20808420,83.6,7.2400,20.2900
8.7918,Hydroxylamine,22737-37-7,C6H19NOSi 2,127983,81.1,0.0400,0.1200
9.5985,Benzoic Acid,2078-12-8,C10H1402Si,7929060,99,2.7600,7.7300
9.7922,Octanoic acid,55494-06-9,C11 H2402Si,283756,82.1,0.1000,0.2800
10.0481,Glycerol,6787-10-6,C12H32O3Si3,6691388,95.1,2.3300,6.5200
10.0595,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,601016,89.3,0.2100,0.5900
10.2487,Niacin,25436-37-7,C9H13NO2Si,69166,86.1,0.0200,0.0700
10.5245,Butanedioic acid,40309-57-7,C10H22O4Si2,337846,88.6,0.1200,0.3300
12.8636,Pentadecane,629-62-9,C15H32,661106,89,0.2300,0.6400
13.3057,L-5-Oxoproline,30274-77-2,C11 H23NO3Si 2,729770,89.3,0.2500,0.7100
13.5104,cinnamic acid,140-10-3,C12H16O2Si,117637,81.2,0.0400,0.1100
15.3785,Tetradecane,629-59-4,C14H30,1288415,89.2,0.4500,1.2600
16.3103,Hexadecane,544-76-3,C16H34,682292,92.1,0.2400,0.6700
18.3337,Eicosane,112-95-8,C20H42,903053,89.5,0.3100,0.8800
18.7906,Palmitic Acid,55520-89-3,C19H4002Si,25857847,99.1,9.0000,25.2100
19.5337,Methyl Stearate,112-61-8,C19H3802,9748796,95.9,3.3900,9.5000
20.0099,Phytol2,7541-49-3,C23H48OSi,15452343,89.8,5.3800,15.0600
20.3299,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21 H4002Si,8923695,84,3.1100,8.7000
20.3961,alpha-Linolenic acid,97844-13-8,C21 H3802Si,8606256,88.3,3.0000,8.3900
20.4870,Petroselinic acid,96851-53-5,C21 H4202Si,5435370,86.5,1.8900,5.3000
20.5782,Stearic acid,18748-91-9,C21 H4402Si,13783923,97.6,4.8000,13.4400
20.7547,Cocaine,50-36-2,C17H21N04,102576331,98.9,35.7100,100.0000
21.6250,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,4886146,92.2,1.7000,4.7600
22.0442,Oleamide,1000308-88-0,C21 H43NOSi,14198353,94.5,4.9400,13.8400
22.2556,abietic acid,514-10-3,C23H38O2Si,5177727,93.2,1.8000,5.0500
22.3897,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,1577267,92.7,0.5500,1.5400
23.4548,1-Monopalmitin,1188-74-5,C25H54O4Si2,690083,80.5,0.2400,0.6700
23.7600,DocosanoicAcid,112-85-6,C25H52O2Si,1464222,82.2,0.5100,1.4300
27.2412,1-Octacosanol,959269-04-6,C31 H 660Si,23668593,98.4,8.2400,23.0700
