RT,Compound Name,CAS#,Formula,Area MI,Match Score,Sample,Sample
6.4802,2-Hydroxypyridine,142-08-5,C5H5NO,1092545,91,0.320,1.730
6.8675,Lactic Acid,17596-96-2,C9H22O3Si2,2059347,98.1,0.600,3.270
8.0791,Oxalic acid,18294-04-7,C8H18O4Si2,23999428,82.7,6.970,38.070
8.7887,Hydroxylamine,22737-37-7,C6H19NOSi2,287116,85.9,0.080,0.460
9.6004,Benzoic Acid,2078-12-8,C10H1402Si,562682,93.1,0.160,0.890
10.0465,Glycerol,6787-10-6,C12H32O3Si3,4031513,95,1.170,6.390
10.0589,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,825943,91.4,0.240,1.310
10.2460,Niacin,25436-37-7,C9H13NO2Si,101352,89.4,0.030,0.160
12.8641,Pentadecane,629-62-9,C15H32,1135884,86.6,0.330,1.800
13.3039,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,243829,89.7,0.070,0.390
13.5128,cinnamic acid,140-10-3,C12H16O2Si,340925,82.6,0.100,0.540
14.0817,Hexadecane,544-76-3,C16H34,266173,82.1,0.080,0.420
14.7107,lauric acid,143-07-7,C15H32O2Si,630844,81.4,0.180,1.000
16.3107,Octadecane,593-45-3,C18H38,958141,90.1,0.280,1.520
16.6766,Protocatechoic acid,2347-40-2,C16H3004Si3,32723,82.9,0.010,0.050
17.2696,quinic acid(S),77-95-2,C22H52O6Si5,378189,85.6,0.110,0.600
17.3470,Nonadecane,629-92-5,C19H40,769247,82.5,0.220,1.220
17.8484,4-Coumaric acid,10517-30-3,C15H24O3Si2,911065,80.2,0.260,1.450
18.0155,D-Mannitol,14317-07-8,C24H62O6Si6,127728,81.2,0.040,0.200
18.3305,Eicosane,112-95-8,C20H42,27577559,92.5,8.010,43.740
18.7891,Palmitic Acid,55520-89-3,C19H4002Si,63046645,99.4,18.320,100.000
19.4551,HeptadecanoicAcid,506-12-7,C20H42O2Si,3614128,93,1.050,5.730
19.5320,Methyl Stearate,112-61-8,C19H3802,10252312,95.1,2.980,16.260
20.0080,Phytol2,7541-49-3,C23H48OSi,18607502,95.1,5.410,29.510
20.1767,Docosane,629-97-0,C22H46,46287779,91.8,13.450,73.420
20.3284,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,6700361,82.5,1.950,10.630
20.3676,"Oleic Acid, (Z)-",21556-26-3,C21H42O2Si,22451887,83.5,6.520,35.610
20.5780,Stearic acid,18748-91-9,C21H44O2Si,61312898,98.6,17.820,97.250
20.7498,Cocaine,50-36-2,C17H21N04,969979,91.6,0.280,1.540
22.0428,Oleamide,1000308-88-0,C21H43NOSi,14769566,92.3,4.290,23.430
22.2523,abietic acid,514-10-3,C23H38O2Si,7505441,94.3,2.180,11.900
23.4524,1-Monopalmitin,1188-74-5,C25H54O4Si2,1809103,85.6,0.530,2.870
27.2430,1-Octacosanol,959269-04-6,C31H66OSi,20474046,97.6,5.950,32.470
