RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4776,2-Hydroxypyridine,142-08-5,C5H5NO,1250565,91.5,1.140,4.350
6.8666,Lactic Acid,17596-96-2,C9H22O3Si2,2947233,94.3,2.700,10.250
7.0818,Glycolic acid,33581-77-0,C8H20035i2,263596,89,0.240,0.920
8.0792,Oxalic acid,18294-04-7,C8H18045i2,28751549,82.4,26.320,100.000
9.5968,Benzoic Acid,2078-12-8,C10H1402Si,242661,93.5,0.220,0.840
9.7896,Octanoic acid,55494-06-9,C11H24O2Si,321848,82.8,0.290,1.120
10.0458,Glycerol,6787-10-6,C12H32O3Si3,8285095,95.3,7.590,28.820
10.0581,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,660930,88.9,0.610,2.300
10.5229,Butanedioic acid,40309-57-7,C10H22O4Si2,265473,82.7,0.240,0.920
13.1580,Salicylic acid,3789-85-3,C13H22O3Si2,203118,84.6,0.190,0.710
13.3065,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,240555,88.6,0.220,0.840
13.5124,cinnamic acid,140-10-3,C12H16O2Si,493717,82.6,0.450,1.720
14.9330,Ecgonine,1000417-19-4,C15H31NO3Si2,2405811,87.1,2.200,8.370
15.3749,Tetradecane,629-59-4,C14H30,385993,85.7,0.350,1.340
16.3050,Octadecane,593-45-3,C18H38,209740,83.4,0.190,0.730
17.6332,Nonadecane,629-92-5,C19H40,1080795,87.1,0.990,3.760
18.0133,D-Mannitol,14317-07-8,C24H62O6Si6,178586,85.8,0.160,0.620
18.3301,Eicosane,112-95-8,C20H42,521877,85.7,0.480,1.820
18.7882,Palmitic Acid,55520-89-3,C19H4002Si,10638767,98.9,9.740,37.000
19.5311,Methyl Stearate,112-61-8,C19H3802,8903637,95.4,8.150,30.970
20.0079,Phytol2,7541-49-3,C23H48OSi,819202,84,0.750,2.850
20.3286,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,1058240,81.3,0.970,3.680
20.3667,"Oleic, (E)-",96851-47-7,C21H4202Si,1580837,80.3,1.450,5.500
20.5767,Stearic acid,18748-91-9,C21H4402Si,9488057,97.7,8.690,33.000
20.7517,Cocaine,50-36-2,C17H21N04,653897,92.4,0.600,2.270
21.6240,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,2412206,90.9,2.210,8.390
22.0432,Oleamide,1000308-88-0,C21H43NOSi,14577464,94.3,13.350,50.700
22.2539,abietic acid,514-10-3,C23H38O2Si,2703650,91.9,2.480,9.400
23.4535,1-Monopalmitin,1188-74-5,C25H54O4Si2,1770488,83.9,1.620,6.160
27.2396,1-Octacosanol,959269-04-6,C31H66OSi,5908569,94.3,5.410,20.550
