RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4688,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,19510048,98.2,0.89,2.71
6.4799,2-Hydroxypyridine,142-08-5,C5H5NO,9031729,93.4,0.41,1.25
6.8663,Lactic Acid,17596-96-2,C9H22O3Si2,9135586,94.9,0.41,1.27
7.0774,Glycolic acid,33581-77-0,C8H2003Si2,2748559,96.6,0.12,0.38
7.5039,L-Alanine,27844-07-1,C9H23NO2Si2,55045871,96.8,2.5,7.65
8.0781,Oxalic acid,18294-04-7,C8H1804Si2,10873441,84,0.49,1.51
8.2584,L-Leucine,1000333-25-0,C9H21NO2Si,2649801,91.4,0.12,0.37
8.4479,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,4163758,84.7,0.19,0.58
9.1992,L-Valine,7364-44-5,C11H27NO2Si2,67200971,99.9,3.05,9.34
9.597,Benzoic Acid,2078-12-8,C10H1402Si,649208,94.7,0.03,0.09
9.7696,Serine,70125-39-2,C9H23NO3Si2,1810604,87.8,0.08,0.25
9.8494,"N-Methyl-L-proline, pentyl ester",1000452-77-3,C11H21NO2,23662635,91.8,1.07,3.29
9.9276,delta. Amino levulinic acid tri-,1000141-47-1,C14H33NO3Si3,6573065,95.6,0.3,0.91
10.0475,Glycerol,6787-10-6,C12H32O3Si3,230976680,99.7,10.48,32.09
10.0641,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,1145422,82.4,0.05,0.16
10.2419,Niacin,25436-37-7,C9H13NO2Si,1076773,96.3,0.05,0.15
10.3084,L-Isoleucine,7483-92-3,C12H29NO2Si2,38383954,96.3,1.74,5.33
10.3557,L-Proline,7364-47-8,C11H25NO2Si2,25391452,93.1,1.15,3.53
10.4948,Glycine,5630-82-0,C11H29NO2Si3,14312885,92,0.65,1.99
10.521,Butanedioic acid,40309-57-7,C10H22O4Si2,4804757,87.7,0.22,0.67
10.6149,Tropine,46320-09-6,C11H23NOSi,3405484,89.6,0.15,0.47
10.8413,Glyceric acid,38191-87-6,C12H3004Si3,1538271,93.7,0.07,0.21
11.2398,Serine,64625-17-8,C12H31NO3Si3,14913043,98.6,0.68,2.07
11.6089,L-Threonine,7537-02-2,C13H33NO3Si3,15156441,99.2,0.69,2.11
12.0876,.beta.-Alanine,55255-77-1,C12H31NO2Si3,684204,83.3,0.03,0.1
13.2065,Meso-Erythritol,1000380-15-5,C16H42O4Si4,7667328,93,0.35,1.07
13.2869,L-Aspartic acid,55268-53-6,C13H31NO4Si3,935725,84.2,0.04,0.13
13.3032,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,15560708,97.2,0.71,2.16
13.3477,L-Glutamic acid,5269-43-2,C11H25NO4Si2,5785815,93,0.26,0.8
13.3866,4-Aminobutyric acid,1000386-39-6,C13H33NO2Si3,6602386,93,0.3,0.92
13.6606,"2,3,4-Trihydroxybutyric acid",38191-88-7,C16H4005Si4,617327,85.8,0.03,0.09
13.8269,Phenethylamine,58367-45-6,C14H27NSi2,374533,84.4,0.02,0.05
14.459,L-Glutamic acid,15985-07-6,C14H33NO4Si3,15813100,96.6,0.72,2.2
14.5008,3-Hydroxybenzoic acid,3782-84-1,C13H22O3Si2,551253,87,0.03,0.08
14.5648,L-Phenylalanine,7364-51-4,C15H27NO2Si2,14510719,98.6,0.66,2.02
14.9401,Ecgonine,1000417-19-4,C15H31NO3Si2,719791682,91.1,32.65,100
15.7531,L-(-)-Arabitol,1000380-37-6,C20H52O5Si5,30836061,98.5,1.4,4.28
17.3501,Tyrosine,7536-83-6,C15H27NO3Si2,6406904,96.6,0.29,0.89
17.4805,gluconic acid lactonel,90-80-2,C18H42O6Si4,3257968,80.1,0.15,0.45
17.6118,Gulonic acid,55528-75-1,C18H42O6Si4,1617156,88.2,0.07,0.22
17.6832,D-Allose,1000380-19-8,C22H55NO6Si5,3547255,85.4,0.16,0.49
17.8491,4-Coumaric acid,10517-30-3,C15H24O3Si2,198976,82.4,0.01,0.03
17.9278,Tyrosine,51220-73-6,C18H35NO3Si3,5771394,93.9,0.26,0.8
