RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4788,2-Hydroxypyridine,142-08-5,C8H13NOSi,277142,85.80,0.260,0.780
6.8670,Lactic Acid,17596-96-2,C9H22O3Si2,3617434,94.40,3.360,10.210
7.0812,Glycolic acid,33581-77-0,C8H2003Si2,36591,83.70,0.030,0.100
B.0783,Oxalic acid,18294-04-7,C8H1804Si2,26063035,83.70,24.180,73.540
9.1987,L-Valine,7364-44-5,C11H27NO2Si2,196013,88.90,0.180,0.550
9.6023,Benzoic Acid,2078-12-8,C10H1402Si,287992,91.00,0.270,0.810
9.9297,delta. Amino levulinic acid tri-,1000141-47-1,C14H33NO3Si3,122642,80.50,0.110,0.350
10.0463,Glycerol,6787-10-6,C12H32O3Si3,35442171,95.40,32.890,100.000
10.3054,L-Isoleucine,7483-92-3,C12H29NO2Si2,120024,83.20,0.110,0.340
10.3556,L-Proline,7364-47-8,C11H25NO2Si2,601353,89.50,0.560,1.700
10.5213,Butanedioic acid,40309-57-7,C10H22O4Si2,305120,85.60,0.280,0.860
11.2379,Serine,64625-17-8,C12H31NO3Si3,164002,88.20,0.150,0.460
11.6107,L-Threonine,7537-02-2,C13H33NO3Si3,157742,88.90,0.150,0.450
13.3031,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,511165,92.00,0.470,1.440
13.3866,4-Aminobutyric acid,1000386-39-6,C13H33NO2Si3,228401,88.30,0.210,0.640
13.8492,"2,3,4-Trihydroxybutyric acid",38191-88-7,C16H4005Si4,57640,86.70,0.050,0.160
14.0410,Ecgonine methyl ester,1000417-19-3,C13H25NO3Si,2285196,75.50,2.120,6.450
14.5628,L-Phenylalanine,7364-51-4,C15H27NO2Si2,97839,88.10,0.090,0.280
14.6883,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,447234,85.00,0.420,1.260
15.8191,Putrescine,39772-63-9,C16H44N2Si4,99514,88.30,0.090,0.280
17.2703,quinic acid(S),77-95-2,C22H52O6Si5,588831,89.30,0.550,1.660
18.7893,Palmitic Acid,55520-89-3,C19H4002Si,7543535,98.90,7.000,21.280
19.5330,Methyl Stearate,112-61-8,C19H3802,8606015,96.00,7.990,24.280
19.5543,Myo-Inositol,2582-79-8,C24H6006Si6,354047,90.70,0.330,1.000
20.0077,Phytol2,7541-49-3,C23H48OSi,910654,86.90,0.850,2.570
20.5782,Stearic acid,18748-91-9,C21H4402Si,5577055,97.20,5.180,15.740
20.7529,Cocaine,50-36-2,C17H21N04,3947755,97.50,3.660,11.140
21.6206,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,1087269,84.20,1.010,3.070
22.0431,Oleamide,1000308-88-0,C21H43NOSi,5634512,93.40,5.230,15.900
27.2390,1-Octacosanol,959269-04-6,C31H66OSi,2397807,89.90,2.230,6.770
