RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4675,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,1143777,94.9,0.560,3.750
6.4792,2-Hydroxypyridine,142-08-5,C5H5NO,1270007,92.3,0.620,4.160
6.8670,Lactic Acid,17596-96-2,C9H2203Si2,5261617,94.8,2.580,17.230
7.0785,Glycolic acid,33581-77-0,C8H2003Si2,379274,81.7,0.190,1.240
7.2755,2-Propenoic acid,55191-13-4,C9H2003Si2,285561,82.3,0.140,0.940
7.9308,Glycolic acid,33581-77-0,C8H2003Si2,264156,82.6,0.130,0.870
8.0783,Oxalic acid,18294-04-7,C8H1804Si2,28906103,82.5,14.200,94.680
9.5962,Benzoic Acid,2078-12-8,C10H1402Si,1321700,96.5,0.650,4.330
10.0451,Glycerol,6787-10-6,C12H32O3Si3,4471803,94.8,2.200,14.650
10.0575,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H2704PSi3,718186,91.0,0.350,2.350
10.2481,Niacin,25436-37-7,C9H13NO2Si,138158,87.3,0.070,0.450
10.5209,Butanedioic acid,40309-57-7,C10H22O4Si2,528859,88.9,0.260,1.730
10.8410,Glyceric acid,38191-87-6,C12H3004Si3,96367,88.1,0.050,0.320
12.8626,Pentadecane,629-62-9,C15H32,962513,85.6,0.470,3.150
13.1622,Salicylic acid,3789-85-3,C13H22O3Si2,192228,84.5,0.090,0.630
13.3028,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,339571,84.7,0.170,1.110
13.5163,cinnamic acid,140-10-3,C12H16O2Si,1463611,88.6,0.720,4.790
14.4988,3-Hydroxybenzoic acid,3782-84-1,C13H2203Si2,132336,85.2,0.060,0.430
14.7107,lauric acid,143-07-7,C15H32O2Si,558165,83.9,0.270,1.830
14.9337,Ecgonine,1000417-19-4,C15H31NO3Si2,7216191,89.0,3.540,23.640
16.3112,Octadecane,593-45-3,C18H38,408114,83.4,0.200,1.340
16.6726,Protocatechoic acid,2347-40-2,C16H3004Si3,116300,85.6,0.060,0.380
17.2723,quinic acid(S),77-95-2,C22H52O6Si5,252037,89.6,0.120,0.830
17.4128,D-Fructose,56196-14-6,C22H55NO6Si5,5006463,96.4,2.460,16.400
17.5153,D-Fructose,1000380-19-0,C22H55NO6Si5,2936690,91.0,1.440,9.620
17.6847,D-Allose,1000380-19-8,C22H55NO6Si5,9904318,92.6,4.860,32.440
17.8756,D-Allose,1000380-19-7,C22H55NO6Si5,1619288,91.2,0.800,5.300
18.0162,D-Mannitol,14317-07-8,C24H6206Si6,426783,92.5,0.210,1.400
18.3305,Eicosane,112-95-8,C20H42,996245,88.4,0.490,3.260
18.7885,Palmitic Acid,55520-89-3,C19H4002Si,30529287,99.3,14.990,100.000
19.5316,Methyl Stearate,112-61-8,C19H3802,8773866,95.2,4.310,28.740
20.0086,Phytol2,7541-49-3,C23H480Si,5146118,94.5,2.530,16.860
20.3264,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,7930792,83.3,3.900,25.980
20.3947,alpha-Linolenic acid,97844-13-8,C21H38O2Si,10147892,86.2,4.980,33.240
20.5774,Stearic acid,18748-91-9,C21H4402Si,16557344,98.0,8.130,54.230
20.7492,Cocaine,50-36-2,C17H21N04,6060994,98.1,2.980,19.850
21.2385,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,203120,83.5,0.100,0.670
21.3344,Benzoylecgonine,864281-94-7,C19H27NO4Si,4278752,93.5,2.100,14.020
22.0414,Oleamide,1000308-88-0,C21H43NOSi,6571775,92.7,3.230,21.530
22.2517,abietic acid,514-10-3,C23H3802Si,3874289,91.3,1.900,12.690
23.4698,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,1753872,90.5,0.860,5.740
27.2397,1-Octacosanol,959269-04-6,C31H66OSi,24461847,98.2,12.010,80.130
