RT,Compound Name,CAS#,Formula,Area MI,Match Score,Sample,Sample
6.4659,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,388122,93.4,0.060,0.340
6.4791,2-Hydroxypyridine,142-08-5,C5H5NO,625086,90.2,0.090,0.550
6.8664,Lactic Acid,17596-96-2,C9H2203Si2,5707393,94.8,0.840,5.050
7.0759,Glycolic acid,33581-77-0,C8H2003Si2,2016009,98.4,0.300,1.780
7.5029,L-Alanine,27844-07-1,C9H23NO2Si2,1237290,90.2,0.180,1.090
8.0786,Oxalic acid,18294-04-7,C8H18O4Si2,45846121,84.1,6.720,40.570
8.4365,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,113248,80.2,0.020,0.100
9.1995,L-Valine,7364-44-5,C11H27NO2Si2,600279,93.1,0.090,0.530
9.5944,Benzoic Acid,2078-12-8,C10H1402Si,2730404,98.0,0.400,2.420
9.7919,Octanoic acid,55494-06-9,C11H24O2Si,642366,81.7,0.090,0.570
10.0462,Glycerol,6787-10-6,C12H32O3Si3,113004455,96.0,16.550,100.000
10.3075,L-Isoleucine,7483-92-3,C12H29NO2Si2,555978,91.2,0.080,0.490
10.3559,L-Proline,7364-47-8,C11H25NO2Si2,4445785,92.8,0.650,3.930
10.5207,Butanedioic acid,40309-57-7,C10H2204Si2,288965,80.3,0.040,0.260
10.8401,Glyceric acid,38191-87-6,C12H3004Si3,1863417,97.7,0.270,1.650
11.6067,L-Threonine,7537-02-2,C13H33NO3Si3,141114,85.0,0.020,0.120
12.8893,Malic acid,38166-11-9,C13H3005Si3,595995,81.2,0.090,0.530
13.1606,Salicylic acid,3789-85-3,C13H22O3Si2,2393756,90.9,0.350,2.120
13.2037,Meso-Erythritol,1000380-15-5,C16H42O4Si4,745316,91.4,0.110,0.660
13.3042,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,1865772,95.7,0.270,1.650
13.5147,cinnamic acid,140-10-3,C12H16O2Si,2034336,91.9,0.300,1.800
14.4988,3-Hydroxybenzoic acid,3782-84-1,C13H22O3Si2,120596,81.6,0.020,0.110
14.6894,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,787702,84.7,0.120,0.700
14.7093,lauric acid,143-07-7,C15H32O2Si,822838,81.1,0.120,0.730
15.7542,L-(-)-Arabitol,1000380-37-6,C20H5205Si5,1244742,96.0,0.180,1.100
17.2699,quinic acid(S),77-95-2,C22H5206Si5,23367237,92.5,3.420,20.680
17.4117,D-Fructose,56196-14-6,C22H55NO6Si5,40813764,97.3,5.980,36.120
17.5135,D-Fructose,57-48-7,C22H55NO6Si5,21730899,91.5,3.180,19.230
17.6836,D-Allose,1000380-19-8,C22H55NO6Si5,34941339,92.6,5.120,30.920
17.8778,D-Allose,1000380-19-7,C22H55NO6Si5,5260653,91.4,0.770,4.660
18.0149,D-Mannitol,14317-07-8,C24H6206Si6,1004895,91.3,0.150,0.890
18.7882,Palmitic Acid,55520-89-3,C19H4002Si,24636593,99.2,3.610,21.800
19.5312,Methyl Stearate,112-61-8,C19H3802,8747325,95.5,1.280,7.740
19.5509,Myo-Inositol,2582-79-8,C24H6006Si6,1188043,93.2,0.170,1.050
20.008,Phytol2,7541-49-3,C23H480Si,89039096,95.8,13.040,78.790
20.3293,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,6820782,83.6,1.000,6.040
20.395,alpha-Linolenic acid,97844-13-8,C21H38O2Si,18115122,90.7,2.650,16.030
20.5769,Stearic acid,18748-91-9,C21H4402Si,10265679,98.1,1.500,9.080
20.7513,Cocaine,50-36-2,C17H21N04,84796597,99.0,12.420,75.040
21.2408,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,21863709,92.5,3.200,19.350
21.3322,Benzoylecgonine,864281-94-7,C19H27NO4Si,2294337,90.1,0.340,2.030
21.6213,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,1841684,81.9,0.270,1.630
22.0416,Oleamide,1000308-88-0,C21H43NOSi,12616251,93.8,1.850,11.160
22.385,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,27732978,97.2,4.060,24.540
23.4491,1-Monopalmitin,1188-74-5,C25H5404Si2,1622470,81.8,0.240,1.440
23.4672,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,44143079,96.9,6.470,39.060
27.2379,1-Octacosanol,959269-04-6,C31H66OSi,9073723,95.3,1.330,8.030
