RT,Compound Name,CAS#,Formula,Area MI,Match Score,Sample,Sample
6.4687,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,1044512,95.20,0.100,0.550
6.4784,2-Hydroxypyridine,142-08-5,C5H5NO,1878174,93.20,0.190,0.990
6.8609,Lactic Acid,17596-96-2,C9H2203Si2,3685451,94.90,0.370,1.940
7.0772,Glycolic acid,33581-77-0,C8H2003Si2,3002556,98.30,0.300,1.580
7.5031,L-Alanine,27844-07-1,C9H23NO2Si2,1631019,88.40,0.160,0.860
7.7072,2-hexenoic acid,13419-69-7,C6H1002,289986,83.10,0.030,0.150
8.4391,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,557083,91.40,0.060,0.290
9.1981,L-Valine,7364-44-5,C11H27NO2Si2,2294211,97.80,0.230,1.210
9.5943,Benzoic Acid,2078-12-8,C10H1402Si,8100190,98.50,0.800,4.260
9.7913,Octanoic acid,55494-06-9,C11H24O2Si,865381,90.00,0.090,0.450
9.9250,Ethanolamine,5630-81-9,C11H31NOSi3,353353,86.70,0.040,0.190
9.9956,L-Norleucine,55320-11-1,C12H29NO2Si2,622676,81.70,0.060,0.330
10.0464,Glycerol,6787-10-6,C12H32O3Si3,190283725,99.70,18.910,100.000
10.2441,Niacin,25436-37-7,C9H13NO2Si,135732,87.70,0.010,0.070
10.3073,L-Isoleucine,7483-92-3,C12H29NO2Si2,2294026,93.40,0.230,1.210
10.3559,L-Proline,7364-47-8,C11H25NO2Si2,20866007,93.30,2.070,10.970
10.5216,Butanedioic acid,40309-57-7,C10H22O4Si2,471285,92.80,0.050,0.250
10.6155,Tropine,46320-09-6,C11H23NOSi,998090,89.10,0.100,0.520
10.8403,Glyceric acid,38191-87-6,C12H3004Si3,4345481,97.60,0.430,2.280
11.2794,Pipecolic acid,55255-44-2,C12H27NO2Si2,573432,91.00,0.060,0.300
11.6108,L-Threonine,7537-02-2,C13H33NO3Si3,361155,88.80,0.040,0.190
12.6972,Niacinamide,1000374-74-5,C9H14N2OSi,412289,90.60,0.040,0.220
12.8598,Pentadecane,629-62-9,C15H32,1343875,85.80,0.130,0.710
13.1611,Salicylic acid,3789-85-3,C13H22O3Si2,8680843,91.80,0.860,4.560
13.2052,Meso-Erythritol,1000380-15-5,C16H4204Si4,1930058,89.50,0.190,1.010
13.3022,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,2617587,93.70,0.260,1.380
13.5145,cinnamic acid,140-10-3,C12H16O2Si,3979377,89.70,0.400,2.090
14.7112,lauric acid,143-07-7,C15H32O2Si,1573936,85.00,0.160,0.830
15.7527,L-(-)-Arabitol,1000380-37-6,C20H52O5Si5,1894277,96.40,0.190,1.000
16.3085,Octadecane,593-45-3,C18H38,2674947,91.00,0.270,1.410
16.4267,2-Keto-l-gluconic acid,1000059-82-4,C21HSO07Si5,5857529,92.80,0.580,3.080
17.2696,quinic acid(S),77-95-2,C22H5206Si5,25875567,92.40,2.570,13.600
17.3437,Pentadecane,629-62-9,C15H32,571406,83.70,0.060,0.300
17.4113,D-Fructose,56196-14-6,C22H55NO6Si5,52220042,97.50,5.190,27.440
17.5143,D-Fructose,57-48-7,C22H55NO6Si5,28366666,91.40,2.820,14.910
17.6834,D-Allose,1000380-19-8,C22H55NO6Si5,47967455,93.00,4.770,25.210
17.8476,4-Coumaric acid,10517-30-3,C15H24O3Si2,251751,84.90,0.030,0.130
17.8761,D-Allose,1000380-19-7,C22H55NO6Si5,5469047,91.40,0.540,2.870
17.9572,1-hexadecanol,36653-82-4,C19H42OSi,1584012,86.00,0.160,0.830
18.3282,Eicosane,112-95-8,C20H42,10608520,90.70,1.050,5.580
18.6111,palmitoleic acid,373-49-9,C19H38O2Si,1016053,85.00,0.100,0.530
18.7873,Palmitic Acid,55520-89-3,C19H4002Si,29098585,99.30,2.890,15.290
19.4541,HeptadecanoicAcid,506-12-7,C20H4202Si,1621862,90.80,0.160,0.850
19.5303,Methyl Stearate,112-61-8,C19H3802,8882226,94.40,0.880,4.670
20.0071,Phytol2,7541-49-3,C23H480Si,101252360,95.40,10.060,53.210
20.3280,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,33969751,84.50,3.380,17.850
20.3951,alpha-Linolenic acid,97844-13-8,C21H3802Si,38449447,87.50,3.820,20.210
20.5766,Stearic acid,18748-91-9,C21H4402Si,11472646,97.90,1.140,6.030
20.7514,Cocaine,50-36-2,C17H21N04,80732020,99.10,8.020,42.430
21.2406,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,18999507,93.10,1.890,9.980
21.3336,Benzoylecgonine,864281-94-7,C19H27NO4Si,24452656,95.50,2.430,12.850
22.0419,Oleamide,1000308-88-0,C21H43NOSi,12463812,92.80,1.240,6.550
22.2526,abietic acid,514-10-3,C23H3802Si,35560941,95.10,3.530,18.690
23.4743,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,34245579,96.90,3.400,18.000
27.2415,1-Octacosanol,959269-04-6,C31H66OSi,122966060,97.70,12.220,64.620
27.4592,alphatocopherol,59-02-9,C32H5802Si,2725687,80.20,0.270,1.430
