RT,Compound Name,CAS#,Formula,Area MI, Match Score,Sample,Sample
6.4699,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,606823,93.90,0.080,0.480
6.4796,2-Hydroxypyridine,142-08-5,C8H13NOSi,680150,89.40,0.090,0.540
6.8674,Lactic Acid,17596-96-2,C9H2203Si2,3328742,94.40,0.430,2.640
7.0787,Glycolic acid,33581-77-0,C8H2003Si2,949659,96.20,0.120,0.750
7.5046,L-Alanine,27844-07-1,C9H23NO2Si2,1099236,87.40,0.140,0.870
8.0794,Oxalic acid,18294-04-7,C8H18O4Si2,21886000,82.50,2.840,17.360
8.4411,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,390460,89.70,0.050,0.310
9.1988,L-Valine,7364-44-5,C11H27NO2Si2,480733,93.40,0.060,0.380
9.3511,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,96749,90.50,0.010,0.080
9.5976,Benzoic Acid,2078-12-8,C10H1402Si,3717557,98.70,0.480,2.950
9.7929,Octanoic acid,55494-06-9,C11H24O2Si,321986,84.40,0.040,0.260
10.0473,Glycerol,6787-10-6,C12H32O3Si3,92736272,95.80,12.030,73.540
10.0634,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,494154,81.60,0.060,0.390
10.2451,Niacin,25436-37-7,C9H13NO2Si,145429,86.40,0.020,0.120
10.3089,L-Isoleucine,7483-92-3,C12H29NO2Si2,447488,87.60,0.060,0.350
10.3575,L-Proline,7364-47-8,C11H25NO2Si2,6075399,92.70,0.790,4.820
10.5225,Butanedioic acid,40309-57-7,C10H2204Si2,1098619,90.50,0.140,0.870
10.6171,Tropine,46320-09-6,C11H23NOSi,944415,94.30,0.120,0.750
10.8422,Glyceric acid,38191-87-6,C12H3004Si3,1456755,98.00,0.190,1.160
12.8923,Malic acid,38166-11-9,C13H3005Si3,1860817,92.50,0.240,1.480
13.1630,Salicylic acid,3789-85-3,C13H22O3Si2,5165105,91.10,0.670,4.100
13.2059,Meso-Erythritol,1000380-15-5,C16H42O4Si4,1463975,91.00,0.190,1.160
13.3040,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,2459805,95.70,0.320,1.950
13.5160,cinnamic acid,140-10-3,C12H16O2Si,6189064,95.40,0.800,4.910
14.5007,3-Hydroxybenzoic acid,3782-84-1,C13H22O3Si2,124346,82.90,0.020,0.100
14.6917,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,931616,80.60,0.120,0.740
14.7124,lauric acid,143-07-7,C15H32O2Si,770860,80.90,0.100,0.610
15.7551,L-(-)-Arabitol,1000380-37-6,C20H5205Si5,1446213,96.70,0.190,1.150
16.3102,Octadecane,593-45-3,C18H38,3781793,91.30,0.490,3.000
16.4283,2-Keto-l-gluconic acid,1000059-82-4,C21HSO07Si5,2453835,89.50,0.320,1.950
16.6722,Protocatechoic acid,2347-40-2,C16H3004Si3,161223,81.20,0.020,0.130
17.2721,quinic acid(S),77-95-2,C22H52O6Si5,13939235,92.60,1.810,11.050
17.4137,D-Fructose,56196-14-6,C22H55NO6Si5,46914621,97.30,6.080,37.200
17.5146,D-Fructose,57-48-7,C22H55NO6Si5,24488540,91.80,3.180,19.420
17.6130,Methyl Palmitate,112-39-0,C17H3402,1418806,86.20,0.180,1.130
17.6847,D-Allose,1000380-19-8,C22H55NO6Si5,3737870,90.50,0.480,2.960
17.8811,D-Allose,1000380-19-7,C22H55NO6Si5,449617,87.40,0.060,0.360
18.0175,D-Mannitol,14317-07-8,C24H6206Si6,5143430,94.50,0.670,4.080
18.3314,Eicosane,112-95-8,C20H42,7288142,90.50,0.950,5.780
18.7909,Palmitic Acid,55520-89-3,C19H4002Si,126102142,99.40,16.350,100.000
19.5330,Methyl Stearate,112-61-8,C19H3802,9233341,95.50,1.200,7.320
19.5507,Myo-Inositol,2582-79-8,C24H6006Si6,1966573,95.00,0.260,1.560
20.0092,Phytol2,7541-49-3,C23H480Si,107658267,96.20,13.960,85.370
20.3299,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,27780125,85.20,3.600,22.030
20.3966,alpha-Linolenic acid,97844-13-8,C21H3802Si,55091200,88.60,7.140,43.690
20.5782,Stearic acid,18748-91-9,C21H4402Si,40460599,98.20,5.250,32.090
20.7528,Cocaine,50-36-2,C17H21N04,34697594,98.70,4.500,27.520
21.2424,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,8955077,93.40,1.160,7.100
21.3363,Benzoylecgonine,864281-94-7,C19H27NO4Si,12782435,93.70,1.660,10.140
21.6242,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,2283301,82.90,0.300,1.810
22.0437,Oleamide,1000308-88-0,C21H43NOSi,13189157,94.50,1.710,10.460
22.3884,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,10300259,96.10,1.340,8.170
23.4524,1-Monopalmitin,1188-74-5,C25H5404Si2,15254040,88.90,1.980,12.100
23.4704,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,15193663,96.10,1.970,12.050
24.8674,Glycerol monostearate,1188-75-6,C27H5804Si2,4207480,84.20,0.550,3.340
27.2415,1-Octacosanol,959269-04-6,C31H66OSi,18791782,97.70,2.440,14.900
