RT,Compound Name,CAS#,Formula,Area MI Match Score,,Sample,Sample
6.4693,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,1852481,96.90,0.2400,1.4200
6.4794,2-Hydroxypyridine,142-08-5,C5H5NO,1531799,92.20,0.2000,1.1700
6.8678,Lactic Acid,17596-96-2,C9H2203Si2,2950427,94.40,0.3800,2.2600
7.0780,Glycolic acid,33581-77-0,C8H2003Si2,875536,89.90,0.1100,0.6700
7.5038,L-Alanine,27844-07-1,C9H23NO2Si2,1379188,89.80,0.1800,1.0500
8.0792,Oxalic acid,18294-04-7,C8H18O4Si2,19977828,82.40,2.5900,15.2800
8.4389,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,430667,89.50,0.0600,0.3300
8.7896,Hydroxylamine,22737-37-7,C6H19NOSi2,299513,81.50,0.0400,0.2300
9.2004,L-Valine,7364-44-5,C11H27NO2Si2,572106,92.00,0.0700,0.4400
9.3482,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,192838,85.30,0.0300,0.1500
9.5976,Benzoic Acid,2078-12-8,C10H1402Si,11963314,99.60,1.5500,9.1500
10.0464,Glycerol,6787-10-6,C12H32O3Si3,33422189,95.50,4.3400,25.5600
10.0600,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H2704PSi3,1445380,87.70,0.1900,1.1100
10.2471,Niacin,25436-37-7,C9H13NO2Si,191162,82.80,0.0200,0.1500
10.3093,L-Isoleucine,7483-92-3,C12H29NO2Si2,796675,85.60,0.1000,0.6100
10.3571,L-Proline,7364-47-8,C11H25NO2Si2,9963560,93.00,1.2900,7.6200
10.5222,Butanedioic acid,40309-57-7,C10H2204Si2,1325078,96.20,0.1700,1.0100
10.6159,Tropine,46320-09-6,C11H23NOSi,1185198,93.20,0.1500,0.9100
10.8421,Glyceric acid,38191-87-6,C12H3004Si3,1307607,96.70,0.1700,1.0000
11.6107,L-Threonine,7537-02-2,C13H33NO3Si3,212188,80.90,0.0300,0.1600
12.8606,Pentadecane,629-62-9,C15H32,1162352,87.20,0.1500,0.8900
13.1630,Salicylic acid,3789-85-3,C13H22O3Si2,4555533,92.80,0.5900,3.4800
13.2067,Meso-Erythritol,1000380-15-5,C16H42O4Si4,1653665,88.80,0.2100,1.2600
13.3040,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,3706073,96.00,0.4800,2.8300
13.5157,cinnamic acid,140-10-3,C12H16O2Si,5937643,93.30,0.7700,4.5400
14.5008,3-Hydroxybenzoic acid,3782-84-1,C13H2203Si2,454523,83.40,0.0600,0.3500
14.6920,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,1880357,81.40,0.2400,1.4400
15.7535,L-(-)-Arabitol,1000380-37-6,C20H5205Si5,1694261,96.90,0.2200,1.3000
16.3098,Octadecane,593-45-3,C18H38,1355098,85.30,0.1800,1.0400
16.6764,Protocatechoic acid,2347-40-2,C16H3004Si3,263431,84.30,0.0300,0.2000
17.2720,quinic acid(S),77-95-2,C22H5206Si5,21616982,93.10,2.8100,16.5300
17.4140,D-Fructose,56196-14-6,C22H55NO6Si5,61773298,97.50,8.0200,47.2400
17.5166,D-Fructose,57-48-7,C22H55NO6Si5,40244254,91.60,5.2300,30.7700
17.6126,Methyl Palmitate,112-39-0,C17H3402,757112,84.00,0.1000,0.5800
17.6854,D-Allose,1000380-19-8,C22H55NO6Si5,31401660,92.90,4.0800,24.0100
17.8787,D-Allose,1000380-19-7,C22H55NO6Si5,5703611,91.20,0.7400,4.3600
18.0113,D-Mannitol,14317-07-8,C24H6206Si6,6840244,94.00,0.8900,5.2300
18.3310,Eicosane,112-95-8,C20H42,16709250,92.00,2.1700,12.7800
18.7907,Palmitic Acid,55520-89-3,C19H4002Si,130776961,99.30,16.9900,100.0000
19.4550,HeptadecanoicAcid,506-12-7,C20H42O2Si,2685912,86.20,0.3500,2.0500
19.5327,Methyl Stearate,112-61-8,C19H3802,9568783,95.20,1.2400,7.3200
19.5529,Myo-Inositol,2582-79-8,C24H6006Si6,2415328,94.50,0.3100,1.8500
19.7023,HeptadecanoicAcid,506-12-7,C20H42O2Si,2451649,90.10,0.3200,1.8700
20.0088,Phytol2,7541-49-3,C23H480Si,32447075,95.60,4.2100,24.8100
20.3297,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,17423167,85.40,2.2600,13.3200
20.3963,alpha-Linolenic acid,97844-13-8,C21H38O2Si,23197514,85.40,3.0100,17.7400
20.5788,Stearic acid,18748-91-9,C21H44O2Si,81677992,98.00,10.6100,62.4600
20.7528,Cocaine,50-36-2,C17H21N04,50434052,98.90,6.5500,38.5600
21.2427,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,13039635,93.50,1.6900,9.9700
21.3352,Benzoylecgonine,864281-94-7,C19H27NO4Si,12537971,92.50,1.6300,9.5900
22.0425,Oleamide,1000308-88-0,C21H43NOSi,11232621,93.40,1.4600,8.5900
22.2543,abietic acid,514-10-3,C23H3802Si,4115688,88.50,0.5300,3.1500
23.4520,1-Monopalmitin,1188-74-5,C25H5404Si2,10371153,86.00,1.3500,7.9300
23.4699,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,19229974,96.20,2.5000,14.7000
27.2428,1-Octacosanol,959269-04-6,C31H66OSi,46715608,98.50,6.0700,35.7200
