RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4713,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,3358325,97.9,0.2700,1.1900
6.4803,2-Hydroxypyridine,142-08-5,C5H5NO,3610447,92.6,0.2900,1.2800
6.8683,Lactic Acid,17596-96-2,C9H22O3Si2,3314581,93.2,0.2700,1.1700
8.0768,Oxalic acid,18294-04-7,C8H1804Si2,19551837,82.2,1.5900,6.9200
8.7917,Hydroxylamine,22737-37-7,C6H19NOSi2,507633,85.7,0.0400,0.1800
9.5985,Benzoic Acid,2078-12-8,C10H1402Si,105987491,99.8,8.6200,37.5100
9.7937,Octanoic acid,55494-06-9,C11H24O2Si,865563,85.2,0.0700,0.3100
10.0469,Glycerol,6787-10-6,C12H32O3Si3,15666895,95.0,1.2700,5.5400
10.0606,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,698745,86.3,0.0600,0.2500
10.2490,Niacin,25436-37-7,C9H13NO2Si,290077,91.1,0.0200,0.1000
10.5225,Butanedioic acid,40309-57-7,C10H22O4Si2,838129,87.5,0.0700,0.3000
12.8635,Pentadecane,629-62-9,C15H32,916296,84.0,0.0700,0.3200
12.8732,4-hydroxybenzaldehyde,123-08-0,C11H17NO2Si,920312,80.7,0.0700,0.3300
13.1628,Salicylic acid,3789-85-3,C13H22O3Si2,911953,90.4,0.0700,0.3200
13.3052,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,1150111,92.4,0.0900,0.4100
13.5184,cinnamic acid,140-10-3,C12H16O2Si,3026665,91.5,0.2500,1.0700
14.0426,Ecgonine methyl ester,1000417-19-3,C13H25NO3Si,7631479,80.1,0.6200,2.7000
14.6912,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,699024,84.4,0.0600,0.2500
14.7148,lauric acid,143-07-7,C15H3202Si,1894872,89.0,0.1500,0.6700
14.9366,Ecgonine,1000417-19-4,C15H31NO3Si2,5766848,87.9,0.4700,2.0400
16.3146,Octadecane,593-45-3,C18H38,770238,89.7,0.0600,0.2700
17.9600,1-hexadecanol,36653-82-4,C19H42OSi,2820646,85.9,0.2300,1.0000
18.6119,palmitoleic acid,373-49-9,C19H38O2Si,2721796,88.3,0.2200,0.9600
18.7935,Palmitic Acid,55520-89-3,C19H4002Si,215430516,99.1,17.5300,76.2400
19.5347,Methyl Stearate,112-61-8,C19H3802,7392803,95.2,0.6000,2.6200
19.7052,HeptadecanoicAcid,506-12-7,C20H42O2Si,5834813,93.2,0.4700,2.0600
20.0114,Phytol2,7541-49-3,C23H48OSi,26253719,95.6,2.1400,9.2900
20.3322,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,48424177,84.5,3.9400,17.1400
20.3987,alpha-Linolenic acid,97844-13-8,C21H38O2Si,69028445,83.7,5.6200,24.4300
20.4893,Petroselinic acid,96851-53-5,C21H42O2Si,41490391,88.4,3.3800,14.6800
20.5810,Stearic acid,18748-91-9,C21H44O2Si,55109458,98.0,4.4800,19.5000
20.7578,Cocaine,50-36-2,C17H21N04,195669457,99.2,15.9200,69.2400
21.3377,Benzoylecgonine,864281-94-7,C19H27NO4Si,50094101,92.9,4.0800,17.7300
21.6276,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,2893626,82.5,0.2400,1.0200
22.0446,Oleamide,1000308-88-0,C21H43NOSi,10099893,94.4,0.8200,3.5700
22.3900,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,3239618,90.7,0.2600,1.1500
23.4538,1-Monopalmitin,1188-74-5,C25H54O4Si2,5517869,83.7,0.4500,1.9500
23.7637,DocosanoicAcid,112-85-6,C25H52O2Si,11138317,91.5,0.9100,3.9400
27.2510,1-Octacosanol,959269-04-6,C31H66OSi,282578209,86.2,22.9900,100.0000
27.6633,Dotriacontane,544-85-4,C32H66,14933604,84.4,1.2200,5.2800
