RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4698,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,493749,83.2,0.1000,0.6700
6.4808,2-Hydroxypyridine,142-08-5,C5H5NO,2544095,93.0,0.5300,3.4500
6.8682,Lactic Acid,17596-96-2,C9H22O3Si2,3893894,94.2,0.8100,5.2800
7.0799,Glycolic acid,33581-77-0,C8H2003Si2,390835,81.1,0.0800,0.5300
7.5051,L-Alanine,27844-07-1,C9H23NO2Si2,627181,85.2,0.1300,0.8500
8.0805,Oxalic acid,18294-04-7,C8H1804Si2,27449126,82.4,5.7000,37.2300
9.1988,L-Valine,7364-44-5,C11H27NO2Si2,211589,87.0,0.0400,0.2900
9.3513,Ethylphosphonic acid,17882-98-3,C8H23O4PSi2,106899,86.8,0.0200,0.1400
9.5989,Benzoic Acid,2078-12-8,C10H1402Si,1324602,96.6,0.2700,1.8000
9.7924,Octanoic acid,55494-06-9,C11H24O2Si,376147,82.8,0.0800,0.5100
10.0483,Glycerol,6787-10-6,C12H32O3Si3,7778970,95.2,1.6100,10.5500
10.0599,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,884622,90.5,0.1800,1.2000
10.2489,Niacin,25436-37-7,C9H13NO2Si,291314,88.7,0.0600,0.4000
10.3079,L-Isoleucine,7483-92-3,C12H29NO2Si2,197087,80.1,0.0400,0.2700
10.5245,Butanedioic acid,40309-57-7,C10H22O4Si2,471812,85.0,0.1000,0.6400
13.1629,Salicylic acid,3789-85-3,C13H22O3Si2,307718,81.5,0.0600,0.4200
13.3053,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,489931,86.4,0.1000,0.6600
13.5143,cinnamic acid,140-10-3,C12H16O2Si,459337,82.7,0.1000,0.6200
14.0827,Hexadecane,544-76-3,C16H34,544730,90.2,0.1100,0.7400
14.6908,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,330700,80.7,0.0700,0.4500
14.7149,lauric acid,143-07-7,C15H3202Si,948579,86.7,0.2000,1.2900
15.7552,L-(-)-Arabitol,1000380-37-6,C20H52O5Si5,95520,81.2,0.0200,0.1300
16.3123,Octadecane,593-45-3,C18H38,4586818,92.1,0.9500,6.2200
17.2736,quinic acid(S),77-95-2,C22H52O6Si5,236222,81.8,0.0500,0.3200
17.8508,4-Coumaric acid,10517-30-3,C15H24O3Si2,465115,81.3,0.1000,0.6300
17.9612,1-hexadecanol,36653-82-4,C19H42OSi,3028738,90.5,0.6300,4.1100
18.0210,D-Mannitol,14317-07-8,C24H62O6Si6,256713,85.9,0.0500,0.3500
18.3312,Eicosane,112-95-8,C20H42,8811702,92.0,1.8300,11.9500
18.6106,palmitoleic acid,373-49-9,C19H38O2Si,3747164,86.9,0.7800,5.0800
18.7910,Palmitic Acid,55520-89-3,Cl9H4002Si,73730450,99.3,15.3000,100.0000
19.4571,HeptadecanoicAcid,506-12-7,C20H42O2Si,12058687,94.9,2.5000,16.3600
19.5327,Methyl Stearate,112-61-8,C19H3802,8799612,90.0,1.8300,11.9300
20.0094,Phytol2,7541-49-3,C23H48OSi,45254218,95.9,9.3900,61.3800
20.3315,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,45335644,86.3,9.4100,61.4900
20.3701,"Oleic, (E)-",96851-47-7,C21H42O2Si,41224177,82.5,8.5500,55.9100
20.5789,Stearic acid,18748-91-9,C21H4402Si,25563759,98.2,5.3000,34.6700
20.7533,Cocaine,50-36-2,C17H21N04,14140285,97.6,2.9300,19.1800
22.0466,Oleamide,1000308-88-0,C21H43NOSi,10749002,81.5,2.2300,14.5800
22.2565,abietic acid,514-10-3,C23H38O2Si,61374144,95.3,12.7300,83.2400
27.2454,1-Octacosanol,959269-04-6,C31H66OSi,70447012,98.4,14.6200,95.5500
27.4623,alphatocopherol,59-02-9,C32H58O2Si,1925298,91.3,0.4000,2.6100
