RT,Compound Name,CAS#,Formula,Area MI,Match Score,Sample,Sample
6.4688,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,296719,85.5,0.040,0.190
6.4799,2-Hydroxypyridine,142-08-5,C5H5NO,3185239,93.6,0.390,2.090
6.6928,Pyruvic Acid,55493-92-0,C7H15NO3Si,168995,83.5,0.020,0.110
6.8683,Lactic Acid,17596-96-2,C9H2203Si2,4118165,94.3,0.500,2.710
7.5052,L-Alanine,27844-07-1,C9H23NO2Si2,589691,87.9,0.070,0.390
8.0805,Oxalic acid,18294-04-7,C8H1804Si2,22376891,83.6,2.710,14.700
9.2002,L-Valine,7364-44-5,C11H27NO2Si2,343337,90.8,0.040,0.230
9.3515,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,454952,90.7,0.060,0.300
9.5991,Benzoic Acid,2078-12-8,C10H1402Si,2222507,97.2,0.270,1.460
9.7915,Octanoic acid,55494-06-9,C11H24O2Si,388155,87.1,0.050,0.260
10.0467,Glycerol,6787-10-6,C12H3203Si3,18422182,95.2,2.230,12.110
10.0594,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H2704PSi3,1085518,89,0.130,0.710
10.3068,L-Isoleucine,7483-92-3,C12H29NO2Si2,396205,86.5,0.050,0.260
10.3549,L-Proline,7364-47-8,C11H25NO2Si2,260804,82.4,0.030,0.170
10.5226,Butanedioic acid,40309-57-7,C10H2204Si2,641002,92.4,0.080,0.420
10.8415,Glyceric acid,38191-87-6,C12H3004Si3,143409,90.2,0.020,0.090
11.2424,Serine,64625-17-8,C12H31NO3Si3,215337,88.5,0.030,0.140
11.6112,L-Threonine,7537-02-2,C13H33NO3Si3,158620,86.2,0.020,0.100
12.8937,Malic acid,38166-11-9,C13H3005Si3,547413,88.5,0.070,0.360
13.1607,Salicylic acid,3789-85-3,C13H2203Si2,81616,82.5,0.010,0.050
13.3061,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,704246,88.5,0.090,0.460
13.3884,4-Aminobutyric acid,1000386-39-6,C13H33NO2Si3,417486,86.5,0.050,0.270
13.5138,cinnamic acid,140-10-3,C12H16O2Si,860214,80,0.100,0.570
14.0841,Hexadecane,544-76-3,C16H34,1225926,89.3,0.150,0.810
14.5751,L-Phenylalanine,7364-51-4,C15H27NO2Si2,330806,82.1,0.040,0.220
14.713,lauric acid,143-07-7,C15H3202Si,1354298,90.8,0.160,0.890
15.7564,L-(-)-Arabitol,1000380-37-6,C20H5205Si5,258529,86.4,0.030,0.170
16.3126,Octadecane,593-45-3,C18H38,6483011,92.1,0.790,4.260
17.2728,quinic acid(S),77-95-2,C22H5206Si5,821054,89.6,0.100,0.540
17.4141,D-Fructose,56196-14-6,C22H55NO6Si5,511299,90,0.060,0.340
17.9612,1-hexadecanol,36653-82-4,C19H42OSi,5505293,88.9,0.670,3.620
18.0181,D-Mannitol,14317-07-8,C24H6206Si6,505265,83.4,0.060,0.330
18.3346,Eicosane,112-95-8,C20H42,9633040,92.2,1.170,6.330
18.6121,palmitoleic acid,373-49-9,C19H3802Si,6967038,89.3,0.840,4.580
18.7921,Palmitic Acid,55520-89-3,C19H4002Si,142566782,99.2,17.290,93.690
19.4574,HeptadecanoicAcid,506-12-7,C20H4202Si,22957223,95.1,2.780,15.090
19.5333,Methyl Stearate,112-61-8,C19H3802,7787388,87.4,0.940,5.120
20.0107,Phytol2,7541-49-3,C23H480Si,98220978,95.7,11.910,64.540
20.3326,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,75505330,86,9.160,49.620
20.3707,"Oleic, (E)-",96851-47-7,C21H4202Si,60191483,82.5,7.300,39.550
20.5803,Stearic acid,18748-91-9,C21H4402Si,52976211,97.9,6.420,34.810
20.7552,Cocaine,50-36-2,C17H21N04,11583483,96.6,1.400,7.610
22.0437,Oleamide,1000308-88-0,C21H43NOSi,9128001,87.2,1.110,6.000
22.257,abietic acid,514-10-3,C23H3802Si,87977922,95.4,10.670,57.810
23.455,1-Monopalmitin,1188-74-5,C25H5404Si2,1024017,83.8,0.120,0.670
23.7637,DocosanoicAcid,112-85-6,C25H5202Si,6350725,81.7,0.770,4.170
27.2473,1-Octacosanol,959269-04-6,C31H66OSi,152176569,97.1,18.460,100.000
27.4621,alphatocopherol,59-02-9,C32H5802Si,4456873,89.7,0.540,2.930
