RT,Compound Name,CAS#,Formula,Area MI, Match Score,Sample,Sample
6.4713000,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,1354188,93.500,0.090,0.660
6.8687000,Lactic Acid,17596-96-2,C9H2203Si2,9035527,94.700,0.610,4.430
7.0804000,Glycolic acid,33581-77-0,C8H2003Si2,1539390,98.400,0.100,0.750
7.5057000,L-Alanine,27844-07-1,C9H23NO2Si2,21860180,97.800,1.480,10.710
8.0806000,Oxalic acid,18294-04-7,C8H1804Si2,19930953,82.000,1.350,9.770
8.2605000,L-Leucine,1000333-25-0,C9H21NO2Si,1325925,91.400,0.090,0.650
8.3617000,Propanoic acid,55530-42-2,C10H2403Si2,558652,96.200,0.040,0.270
8.4413000,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,2943149,97.900,0.200,1.440
8.8711000,"Pyrrolidine, 2-butyl-1-methyl-",3447-03-8,C9H19N,1722178,94.600,0.120,0.840
9.2010000,L-Valine,7364-44-5,C11H27NO2Si2,26048653,99.600,1.770,12.760
9.3484000,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,15617288,99.800,1.060,7.650
9.5989000,Benzoic Acid,2078-12-8,C10H1402Si,8694950,98.500,0.590,4.260
9.7697000,L-Serine,70125-39-2,C9H23NO3Si2,1834882,95.900,0.120,0.900
9.8528000,"N-Methyl-L-proline, pentyl ester",1000452-77-3,C11H21NO2,2133060,89.500,0.140,1.050
9.9288000,delta. Amino levulinic acid tri-,1000141-47-1,C14H33NO3Si3,4758801,95.300,0.320,2.330
10.0481000,Glycerol,6787-10-6,C12H3203Si3,192884665,99.600,13.100,94.500
10.0619000,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H2704PSi3,19337897,93.300,1.310,9.470
10.2475000,Niacin,25436-37-7,C9H13NO2Si,1097578,96.200,0.070,0.540
10.3095000,L-Isoleucine,7483-92-3,C12H29NO2Si2,22620020,91.800,1.540,11.080
10.3581000,L-Proline,7364-47-8,C11H25NO2Si2,15849059,89.400,1.080,7.770
10.4952000,Glycine,5630-82-0,C11H29NO2Si3,313985,87.500,0.020,0.150
10.5206000,Butanedioic acid,40309-57-7,C10H2204Si2,48468295,99.500,3.290,23.750
10.8426000,Glyceric acid,38191-87-6,C12H3004Si3,6168053,98.900,0.420,3.020
10.9549000,"2-Butenedioic acid, (E)-",17962-03-7,C10H2004Si2,7610030,92.100,0.520,3.730
11.0481000,"2,3-Dihydroxybutanoic acid",38165-91-2,C13H3204Si3,4068091,96.000,0.280,1.990
11.2400000,Serine,64625-17-8,C12H31NO3Si3,3807650,95.200,0.260,1.870
11.6121000,L-Threonine,7537-02-2,C13H33NO3Si3,6292478,97.400,0.430,3.080
11.9235000,Butanoic acid,55191-52-1 ,C13H3204Si3,316773,90.800,0.020,0.160
12.0090000,L-Aspartic acid,1000333-28-8,C10H23NO4Si2,466299,91.100,0.030,0.230
12.8946000,Malic acid,38166-11-9,C13H3005Si3,133938639,99.600,9.100,65.620
13.0793000,Trigonelline,1000141-35-2,C10H16NO2Si,129301,85.000,0.010,0.060
13.1653000,Salicylic acid,3789-85-3,C13H2203Si2,913408,91.600,0.060,0.450
13.2075000,Meso-Erythritol,1000380-15-5,C16H4204Si4,49358924,93.600,3.350,24.180
13.2892000,L-Aspartic acid,55268-53-6,C13H31NO4Si3,704865,81.100,0.050,0.350
13.3068000,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,86547554,98.300,5.880,42.400
13.3484000,L-Glutamic acid,5269-43-2,C11H25NO4Si2,1149069,85.300,0.080,0.560
13.3896000,4-Aminobutyric acid,1000386-39-6,C13H33NO2Si3,19000426,95.400,1.290,9.310
13.9277000,Pentanedioic acid,55530-62-6,C14H3205Si3,973774,93.800,0.070,0.480
14.0425000,Ecgonine methyl ester,1000417-19-3,C13H25NO3Si,25762875,78.100,1.750,12.620
14.2696000,Pentanedioic acid,55590-95-9,C15H3405Si3,1641765,90.300,0.110,0.800
14.4601000,L-Glutamic acid,15985-07-6,C14H33N04Si3,3069276,95.900,0.210,1.500
14.5039000,3-Hydroxybenzoic acid,3782-84-1,C13H2203Si2,43795,83.600,0.000,0.020
14.5660000,L-Phenylalanine,7364-51-4,C15H27NO2Si2,2173853,94.300,0.150,1.070
14.6559000,Xylonic acid,32384-59-1,C14H3205Si3,4418741,96.100,0.300,2.160
14.6903000,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,27311303,98.600,1.850,13.380
14.9355000,Ecgonine,1000417-19-4,C15H31NO3Si2,94063961,91.600,6.390,46.090
15.0699000,Asparagine,55649-62-2,C13H32N203Si 3,1338451,92.200,0.090,0.660
15.4999000,Xylitol,14199-72-5,C20H5205Si5,1102345,94.800,0.070,0.540
15.7554000,L-(-)-Arabitol,1000380-37-6,C20H5205Si5,61411664,98.500,4.170,30.090
16.2688000,2-Keto-l-gluconic acid,1000059-82-4,C21 HSO07Si5,1693282,89.800,0.120,0.830
16.5887000,Shikimic acid,55520-78-0,C19H4205Si4,739243,84.000,0.050,0.360
16.6754000,Protocatechoic acid,2347-40-2,C16H3004Si3,381505,81.200,0.030,0.190
16.7604000,Citric acid,14330-97-3,C18H4007Si4,2646067,97.200,0.180,1.300
16.8407000,Myristic acid,18603-17-3,C17H3602Si,813787,82.700,0.060,0.400
17.1845000,Adenine,17995-04-9,C11H21N5Si2,597661,83.900,0.040,0.290
17.2752000,quinic acid(S),77-95-2,C22H5206Si5,204101969,90.700,13.860,100.000
17.4149000,D-Fructose,56196-14-6,C22H55NO6Si5,2076440,94.900,0.140,1.020
17.4815000,Gulonic acid,55528-75-1,C18H4206Si4,7645773,93.800,0.520,3.750
17.6133000,Gulonic acid,55528-75-1,C18H4206Si4,4853483,87.500,0.330,2.380
17.6854000,D-Allose,1000380-19-8,C22H55N06Si 5,5580918,91.400,0.380,2.730
17.8259000,D-(+)-Glucosamine,1000141-26-9,C24H61 NO5Si 6,1688255,82.900,0.110,0.830
18.0191000,D-Mannitol,14317-07-8,C24H6206Si6,64187270,95.700,4.360,31.450
18.7391000,D-Gluconic acid,34290-52-3,C24H6007Si6,1913520,92.300,0.130,0.940
18.7901000,Palmitic Acid,55520-89-3,C19H4002Si,16767305,98.900,1.140,8.220
19.5318000,Methyl Stearate,112-61-8,C19H3802,5951358,94.700,0.400,2.920
19.5519000,Myo-Inositol,2582-79-8,C24H6006Si6,13304108,96.400,0.900,6.520
19.7455000,Caffeic acid,501-16-6,C18H3204Si3,386540,84.500,0.030,0.190
19.8277000,D-Allose,1000380-40-9,C24H61 NO6Si 6,2698916,93.400,0.180,1.320
20.0088000,Phytol,57397-39-4,C23H480Si,2831464,95.300,0.190,1.390
20.3957000,alpha-Linolenic acid,97844-13-8,C21 H3802Si,5030031,80.400,0.340,2.460
20.4847000,"13-Octadecenoic acid, (E)-",1000333-61-7,C21 H4202Si,2882904,89.500,0.200,1.410
20.5787000,Stearic acid,18748-91-9,C21 H4402Si,7591086,97.600,0.520,3.720
20.7526000,Cocaine,50-36-2,C17H21N04,99466824,99.000,6.760,48.730
21.2440000,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,3456997,94.100,0.230,1.690
21.3354000,Benzoylecgonine,864281-94-7,C19H27NO4Si,13815863,97.000,0.940,6.770
21.3548000,Glucopyranose,1000157-49-7,C21H5206Si5,3858742,83.700,0.260,1.890
21.5258000,Glyceryl-glycoside ether,1000365-90-1,C27H6608Si6,1935472,92.900,0.130,0.950
21.6232000,"9-Octadecenamide, (Z)-",301-02-0,C18H35N0,1684541,82.100,0.110,0.830
21.9151000,Glucopyranose,1000157-49-7,C21H5206Si5,4808854,82.700,0.330,2.360
22.0428000,Oleamide,1000308-88-0,C21H43NOSi,9207799,91.800,0.630,4.510
22.2541000,abietic acid,514-10-3,C23H3802Si,1510185,87.400,0.100,0.740
22.3849000,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,795920,86.200,0.050,0.390
23.4519000,1-Monopalmitin,1188-74-5,C25H5404Si2,1812849,89.900,0.120,0.890
27.2419000,1-Octacosanol,959269-04-6,C31H660Si,8321224,96.700,0.570,4.080
27.4618000,Chlorogenic acid,1000413-96-0,C34H6609Si6,1600844,84.400,0.110,0.780
