RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4711,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,806327,93.9,0.06,0.53
6.48,2-Hydroxypyridine,142-08-5,C5H5NO,1018018,91.6,0.08,0.67
6.8682,Lactic Acid,17596-96-2,C9H2203Si2,34114531,95,2.57,22.38
7.0787,Glycolic acid,33581-77-0,C8H2003Si2,4569920,98.5,0.34,3
7.2669,2-Propenoic acid,55191-13-4,C9H2003Si2,261520,84.3,0.02,0.17
7.5055,L-Alanine,27844-07-1,C9H23NO2Si2,38915600,98.2,2.93,25.53
8.0812,Oxalic acid,18294-04-7,C8H1804Si2,8360557,82.4,0.63,5.48
8.3631,Propanoic acid,55530-42-2,C10H2403Si2,1015582,95.9,0.08,0.67
8.4412,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,6558351,98.8,0.49,4.3
8.8708,"Pyrrolidine, 2-butyl-1-methyl-",3447-03-8,C9H19N,4221822,97.5,0.32,2.77
9.2003,L-Valine,7364-44-5,C11H27NO2Si2,23823290,99.6,1.79,15.63
9.3479,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,16983718,99.8,1.28,11.14
9.6024,Benzoic Acid,2078-12-8,C10H1402Si,8542725,98.1,0.64,5.6
9.7706,L-Serine,70125-39-2,C9H23NO3Si2,4790724,97.8,0.36,3.14
9.85,"N-Methyl-L-proline, pentyl ester",1000452-77-3,C11H21NO2,1543905,89.5,0.12,1.01
9.9291,delta. Amino levulinic acid tri-,1000141-47-1,C14H33NO3Si3,24563496,96.1,1.85,16.11
9.9981,L-Norleucine,55320-11-1,C12H29NO2Si2,9887876,96.5,0.74,6.49
10.0478,Glycerol,6787-10-6,C12H3203Si3,152442960,96,11.48,100
10.0601,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H2704PSi3,28465776,92.3,2.14,18.67
10.2478,Niacin,25436-37-7,C9H13NO2Si,2054415,97.6,0.15,1.35
10.3093,L-Isoleucine,7483-92-3,C12H29NO2Si2,15384613,93.4,1.16,10.09
10.357,L-Proline,7364-47-8,C11H25NO2Si2,58508209,93.3,4.4,38.38
10.4949,Glycine,5630-82-0,C11H29NO2Si3,3991061,98.4,0.3,2.62
10.5234,Butanedioic acid,40309-57-7,C10H2204Si2,20262114,99.7,1.53,13.29
10.618,Tropine,46320-09-6,C11H23NOSi,1532274,88.4,0.12,1.01
10.696,Methylsuccinic acid,55557-26-1,C11H2404Si2,535256,80.8,0.04,0.35
10.8418,Glyceric acid,38191-87-6,C12H3004Si3,7308071,98,0.55,4.79
10.9546,"2-Butenedioic acid, (E)-",17962-03-7,C10H2004Si2,1189004,84.8,0.09,0.78
11.2405,Serine,64625-17-8,C12H31NO3Si3,32564099,98.7,2.45,21.36
11.6122,L-Threonine,7537-02-2,C13H33NO3Si3,14876327,98.8,1.12,9.76
12.0089,L-Aspartic acid,1000333-28-8,C10H23NO4Si2,395370,85.6,0.03,0.26
12.092,.beta.-Alanine,55255-77-1,C12H31NO2Si3,1545455,97.7,0.12,1.01
12.8895,Malic acid,38166-11-9,C13H3005Si3,54166118,95.8,4.08,35.53
13.0779,Trigonelline,1000141-35-2,C10H16NO2Si,1004845,95.8,0.08,0.66
13.1059,Meso-Erythritol,1000380-15-5,C16H4204Si4,1554874,87,0.12,1.02
13.1634,Salicylic acid,3789-85-3,C13H2203Si2,765613,92.3,0.06,0.5
13.2076,Meso-Erythritol,1000380-15-5,C16H4204Si4,15912269,91,1.2,10.44
13.2891,L-Aspartic acid,55268-53-6,C13H31NO4Si3,1026703,86.9,0.08,0.67
13.3051,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,30502545,97.5,2.3,20.01
13.3894,4-Aminobutanoic acid,39508-23-1,C13H33NO2Si3,80610330,96.5,6.07,52.88
14.1522,Asparagine,1000333-25-8,C10H24N203Si2,3433015,80.9,0.26,2.25
14.269,Pentanedioic acid,55590-95-9,C15H3405Si3,2145591,92.1,0.16,1.41
14.4576,L-Glutamic acid,15985-07-6,C14H33NO4Si3,1771717,94.6,0.13,1.16
14.5022,3-Hydroxybenzoic acid,3782-84-1,C13H2203Si2,197273,83.5,0.01,0.13
14.566,L-Phenylalanine,7364-51-4,C15H27NO2Si2,18819796,98.5,1.42,12.35
14.6557,Xylonic acid,32384-59-1,C14H3205Si3,2629949,91.9,0.2,1.73
14.6897,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,20046942,98.8,1.51,13.15
15.0698,Asparagine,55649-62-2,C13H32N203Si3,11395029,98.5,0.86,7.47
15.1704,Hexanedioic acid,73105-00-7,C15H3405Si3,854157,82.4,0.06,0.56
15.4972,Xylitol,14199-72-5,C20H5205Si5,2532265,95.8,0.19,1.66
15.7548,L-(-)-Arabitol,1000380-37-6,C20H5205Si5,10370031,98.1,0.78,6.8
15.8247,Putrescine,39772-63-9,C16H44N2Si4,27259431,96,2.05,17.88
16.2716,2-Keto-l-gluconic acid,1000059-82-4,C21HSO07Si5,2469775,91.8,0.19,1.62
16.5878,Shikimic acid,55520-78-0,C19H4205Si4,9398898,93.9,0.71,6.17
16.7594,Citric acid,14330-97-3,C18H4007Si4,9360827,98.6,0.7,6.14
17.1849,Adenine,17995-04-9,C11H21N5Si2,7532063,97.3,0.57,4.94
17.2723,quinic acid(S),77-95-2,C22H5206Si5,94556649,90.9,7.12,62.03
17.4146,D-Fructose,56196-14-6,C22H55NO6Si5,35205703,97.5,2.65,23.09
17.4861,Gulonic acid,55528-75-1,C18H4206Si4,8407355,82.7,0.63,5.52
17.5179,D-Fructose,1000380-19-0,C22H55NO6Si5,32437590,97.2,2.44,21.28
17.6128,Gulonic acid,55528-75-1,C18H4206Si4,4202642,91.4,0.32,2.76
17.6861,D-Allose,1000380-19-8,C22H55NO6Si5,16306858,93,1.23,10.7
17.7452,L-Lysine,55429-07-7,C18H46N202Si4,812709,80.7,0.06,0.53
17.8264,D-(+)-Glucosamine,1000141-26-9,C24H61NO5Si6,5692234,93.8,0.43,3.73
17.8526,4-Coumaric acid,10517-30-3,C15H2403Si2,608176,85.5,0.05,0.4
17.8868,D-Allose,1000380-19-7,C22H55NO6Si5,2869739,90,0.22,1.88
17.9294,Tyrosine,51220-73-6,C18H35NO3Si3,1753073,88.2,0.13,1.15
18.011,D-Mannitol,14317-07-8,C24H6206Si6,33025101,81.4,2.49,21.66
18.1145,Gallic acid,2078-17-3,C19H3805Si4,153677,89.2,0.01,0.1
18.2679,Myo-Inositol,2582-79-8,C24H6006Si6,13282341,98.9,1,8.71
18.6888,D-Gluconic acid,34290-52-3,C24H6007Si6,1209946,88.2,0.09,0.79
18.7898,Palmitic Acid,55520-89-3,C19H4002Si,11525370,99.1,0.87,7.56
19.3237,Ferulic acid,10517-09-6,C16H2604Si2,628195,89.8,0.05,0.41
19.5317,Methyl Stearate,112-61-8,C19H3802,6313141,94.5,0.48,4.14
19.7473,Caffeic acid,501-16-6,C18H3204Si3,492852,84.1,0.04,0.32
19.9356,D-Allose,1000380-40-9,C24H61NO6Si6,1846160,88.3,0.14,1.21
20.0093,Phytol2,7541-49-3,C23H480Si,11219340,91.8,0.84,7.36
20.0543,D-Allose,1000380-40-9,C24H61NO6Si6,786735,83.1,0.06,0.52
20.4852,"13-Octadecenoic acid, (E)-",1000333-61-7,C21H4202Si,1371842,88,0.1,0.9
20.5778,Stearic acid,18748-91-9,C21H4402Si,8783384,97.8,0.66,5.76
20.7537,Cocaine,50-36-2,C17H21N04,140052504,99.2,10.54,91.87
21.243,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,534282,90.1,0.04,0.35
21.3356,Benzoylecgonine,864281-94-7,C19H27NO4Si,7715332,94.7,0.58,5.06
21.5244,Glyceryl-glycoside ether,1000365-90-1,C27H6608Si6,6431886,97.9,0.48,4.22
22.0433,Oleamide,1000308-88-0,C21H43NOSi,13450506,94.6,1.01,8.82
22.3436,Glucopyranose,1000157-49-7,C21H5206Si5,2161778,93.6,0.16,1.42
23.4528,1-Monopalmitin,1188-74-5,C25H5404Si2,1943789,85.5,0.15,1.28
23.4698,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,12130893,96.4,0.91,7.96
27.2392,1-Octacosanol,959269-04-6,C31H66OSi,3670199,90.3,0.28,2.41
