RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4776,2-Hydroxypyridine,142-08-5,C5H5NO,1250565,91.5,1.14,4.35
6.8666,Lactic Acid,17596-96-2,C9H22O3Si2,2947233,94.3,2.70,10.25
7.0818,Glycolic acid,33581-77-0,C8H20035i2,263596,89,0.24,0.92
8.0792,Oxalic acid,18294-04-7,C8H18045i2,28751549,82.40000000000001,26.32,100.00
9.5968,Benzoic Acid,2078-12-8,C10H1402Si,242661,93.5,0.22,0.84
9.7896,Octanoic acid,55494-06-9,C11H24O2Si,321848,82.8,0.29,1.12
10.0458,Glycerol,6787-10-6,C12H32O3Si3,8285095,95.3,7.59,28.82
10.0581,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,660930,88.90000000000001,0.61,2.30
10.5229,Butanedioic acid,40309-57-7,C10H22O4Si2,265473,82.7,0.24,0.92
13.1580,Salicylic acid,3789-85-3,C13H22O3Si2,203118,84.59999999999999,0.19,0.71
13.3065,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,240555,88.59999999999999,0.22,0.84
13.5124,cinnamic acid,140-10-3,C12H16O2Si,493717,82.59999999999999,0.45,1.72
14.9330,Ecgonine,1000417-19-4,C15H31NO3Si2,2405811,87.09999999999999,2.20,8.37
15.3749,Tetradecane,629-59-4,C14H30,385993,85.7,0.35,1.34
16.3050,Octadecane,593-45-3,C18H38,209740,83.40000000000001,0.19,0.73
17.6332,Nonadecane,629-92-5,C19H40,1080795,87.09999999999999,0.99,3.76
18.0133,D-Mannitol,14317-07-8,C24H62O6Si6,178586,85.8,0.16,0.62
18.3301,Eicosane,112-95-8,C20H42,521877,85.7,0.48,1.82
18.7882,Palmitic Acid,55520-89-3,C19H4002Si,10638767,98.90000000000001,9.74,37.00
19.5311,Methyl Stearate,112-61-8,C19H3802,8903637,95.40000000000001,8.15,30.97
20.0079,Phytol2,7541-49-3,C23H48OSi,819202,84,0.75,2.85
20.3286,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,1058240,81.3,0.97,3.68
20.3667,"Oleic, (E)-",96851-47-7,C21H4202Si,1580837,80.3,1.45,5.50
20.5767,Stearic acid,18748-91-9,C21H4402Si,9488057,97.7,8.69,33.00
20.7517,Cocaine,50-36-2,C17H21N04,653897,92.40000000000001,0.60,2.27
21.6240,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,2412206,90.90000000000001,2.21,8.39
22.0432,Oleamide,1000308-88-0,C21H43NOSi,14577464,94.3,13.35,50.70
22.2539,abietic acid,514-10-3,C23H38O2Si,2703650,91.90000000000001,2.48,9.40
23.4535,1-Monopalmitin,1188-74-5,C25H54O4Si2,1770488,83.90000000000001,1.62,6.16
27.2396,1-Octacosanol,959269-04-6,C31H66OSi,5908569,94.3,5.41,20.55
