RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4788,2-Hydroxypyridine,142-08-5,C8H13NOSi,277142,85.8,0.26,0.78
6.867,Lactic Acid,17596-96-2,C9H22O3Si2,3617434,94.4,3.36,10.21
7.0812,Glycolic acid,33581-77-0,C8H2003Si2,36591,83.7,0.03,0.1
8.0783,Oxalic acid,18294-04-7,C8H1804Si2,26063035,83.7,24.18,73.54
9.1987,L-Valine,7364-44-5,C11H27NO2Si2,196013,88.9,0.18,0.55
9.6023,Benzoic Acid,2078-12-8,C10H1402Si,287992,91,0.27,0.81
9.9297,delta. Amino levulinic acid tri-,1000141-47-1,C14H33NO3Si3,122642,80.5,0.11,0.35
10.0463,Glycerol,6787-10-6,C12H32O3Si3,35442171,95.4,32.89,100
10.3054,L-Isoleucine,7483-92-3,C12H29NO2Si2,120024,83.2,0.11,0.34
10.3556,L-Proline,7364-47-8,C11H25NO2Si2,601353,89.5,0.56,1.7
10.5213,Butanedioic acid,40309-57-7,C10H22O4Si2,305120,85.6,0.28,0.86
11.2379,Serine,64625-17-8,C12H31NO3Si3,164002,88.2,0.15,0.46
11.6107,L-Threonine,7537-02-2,C13H33NO3Si3,157742,88.9,0.15,0.45
13.3031,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,511165,92,0.47,1.44
13.3866,4-Aminobutyric acid,1000386-39-6,C13H33NO2Si3,228401,88.3,0.21,0.64
13.8492,"2,3,4-Trihydroxybutyric acid",38191-88-7,C16H4005Si4,57640,86.7,0.05,0.16
14.041,Ecgonine methyl ester,1000417-19-3,C13H25NO3Si,2285196,75.5,2.12,6.45
14.5628,L-Phenylalanine,7364-51-4,C15H27NO2Si2,97839,88.1,0.09,0.28
14.6883,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,447234,85,0.42,1.26
15.8191,Putrescine,39772-63-9,C16H44N2Si4,99514,88.3,0.09,0.28
17.2703,quinic acid(S),77-95-2,C22H52O6Si5,588831,89.3,0.55,1.66
18.7893,Palmitic Acid,55520-89-3,C19H4002Si,7543535,98.9,7,21.28
19.533,Methyl Stearate,112-61-8,C19H3802,8606015,96,7.99,24.28
19.5543,Myo-Inositol,2582-79-8,C24H6006Si6,354047,90.7,0.33,1
20.0077,Phytol2,7541-49-3,C23H48OSi,910654,86.9,0.85,2.57
20.5782,Stearic acid,18748-91-9,C21H4402Si,5577055,97.2,5.18,15.74
20.7529,Cocaine,50-36-2,C17H21N04,3947755,97.5,3.66,11.14
21.6206,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,1087269,84.2,1.01,3.07
22.0431,Oleamide,1000308-88-0,C21H43NOSi,5634512,93.4,5.23,15.9
27.239,1-Octacosanol,959269-04-6,C31H66OSi,2397807,89.9,2.23,6.77
