RT,Compound Name,CAS#,Formula,Area MI, Match Score,Sample,Sample
6.4715,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,446061,89,0.09,0.32
6.4789,2-Hydroxypyridine,142-08-5,C8H13NOSi,498100,87.5,0.11,0.36
6.8669,Lactic Acid,17596-96-2,C9H2203Si2,8901588,95,1.88,6.35
7.0796,Glycolic acid,33581-77-0,C8H2003Si2,353870,92.9,0.07,0.25
7.5044,L-Alanine,27844-07-1,C9H23NO2Si2,1484279,91.4,0.31,1.06
8.0792,Oxalic acid,18294-04-7,C8H1804Si2,23461705,82.4,4.97,16.72
8.4418,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,205172,91.6,0.04,0.15
9.1979,L-Valine,7364-44-5,C11H27NO2Si2,593650,92.8,0.13,0.42
9.3507,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,106962,84.9,0.02,0.08
9.5998,Benzoic Acid,2078-12-8,C10H1402Si,390361,94.6,0.08,0.28
9.769,Serine,70125-39-2,C9H23NO3Si2,219798,83.9,0.05,0.16
9.8521,"N-Methyl-L-proline, pentyl ester",1000452-77-3,C11H21NO2,794365,92.5,0.17,0.57
9.9282,Ethanolamine,5630-81-9,C11H31NOSi3,367642,82.2,0.08,0.26
10.0468,Glycerol,6787-10-6,C12H32O3Si3,140289903,96,29.69,100
10.2465,Niacin,25436-37-7,C9H13NO2Si,117871,86.6,0.02,0.08
10.3096,L-Isoleucine,7483-92-3,C12H29NO2Si2,520321,87.3,0.11,0.37
10.3564,L-Proline,7364-47-8,C11H25NO2Si2,3129054,91.7,0.66,2.23
10.495,Glycine,5630-82-0,C11H29NO2Si3,122699,80.8,0.03,0.09
10.5242,Butanedioic acid,40309-57-7,C10H22O4Si2,243616,88.3,0.05,0.17
10.6173,Tropine,46320-09-6,C11H23NOSi,1093964,92.6,0.23,0.78
10.8424,Glyceric acid,38191-87-6,C12H3004Si3,173049,87.5,0.04,0.12
11.2417,Serine,64625-17-8,C12H31NO3Si3,494897,93,0.1,0.35
11.6112,L-Threonine,7537-02-2,C13H33NO3Si3,434797,90.4,0.09,0.31
12.8954,Malic acid,38166-11-9,C13H3005Si3,575395,86.5,0.12,0.41
13.2067,Meso-Erythritol,1000380-15-5,C16H42O4Si4,5319319,92.4,1.13,3.79
13.3031,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,401658,92,0.09,0.29
13.7725,4-hydroxybenzoic acid,99-96-7,C13H22O3Si2,573394,85.2,0.12,0.41
14.0409,Ecgonine methyl ester,1000417-19-3,C13H25NO3Si,4203000,80.8,0.89,3
14.502,3-Hydroxybenzoic acid,3782-84-1,C13H2203Si2,255716,80.9,0.05,0.18
14.5632,L-Phenylalanine,7364-51-4,C15H27NO2Si2,183852,84,0.04,0.13
14.7129,lauric acid,143-07-7,C15H32O2Si,1493390,89.6,0.32,1.06
14.9349,Ecgonine,1000417-19-4,C15H31NO3Si2,62553288,91.4,13.24,44.59
15.7539,L-(-)-Arabitol,1000380-37-6,C20H52O5Si5,87878631,98.4,18.6,62.64
16.5882,Shikimic acid,55520-78-0,C19H4205Si4,489130,84.7,0.1,0.35
17.2723,quinic acid(S),77-95-2,C22H52O6Si5,1957700,90.6,0.41,1.4
17.413,D-Fructose,56196-14-6,C22H55NO6Si5,191781,82.6,0.04,0.14
17.8505,4-Coumaric acid,10517-30-3,C15H24O3Si2,261582,86.7,0.06,0.19
18.0182,D-Mannitol,14317-07-8,C24H6206Si6,81712767,94.4,17.29,58.25
18.7885,Palmitic Acid,55520-89-3,C19H4002Si,13502715,99,2.86,9.62
19.533,Methyl Stearate,112-61-8,C19H3802,7986702,95.1,1.69,5.69
19.5553,Myo-Inositol,2582-79-8,C24H6006Si6,849565,93.2,0.18,0.61
20.0097,Phytol,57397-39-4,C23H480Si,2056096,92.8,0.44,1.47
20.3269,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,2121545,80.9,0.45,1.51
20.5772,Stearic acid,18748-91-9,C21H4402Si,7337332,98.1,1.55,5.23
20.751,Cocaine,50-36-2,C17H21N04,595315,91.7,0.13,0.42
21.6217,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,887019,80.1,0.19,0.63
22.0412,Oleamide,1000308-88-0,C21H43NOSi,805715,82.3,0.17,0.57
22.2537,abietic acid,514-10-3,C23H3802Si,2064105,92.2,0.44,1.47
23.4512,1-Monopalmitin,1188-74-5,C25H5404Si2,1832665,87.4,0.39,1.31
