RT,Compound Name,CAS#,Formula,Area MI,Match Score,Sample,Sample
6.4679,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,683549,81.4,0.15,0.87
6.4790,2-Hydroxypyridine,142-08-5,C8H13NOSi,607525,88,0.13,0.78
6.8666,Lactic Acid,17596-96-2,C9H22O3Si2,4897743,98.4,1.07,6.27
7.0806,Glycolic acid,33581-77-0,C8H2003Si2,528120,85,0.12,0.68
7.5044,L-Alanine,27844-07-1,C9H23NO2Si2,1984908,88.2,0.43,2.54
8.0794,Oxalic acid,18294-04-7,C8H18O4Si2,17826652,82.5,3.89,22.82
8.4414,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,285526,87.7,0.06,0.37
8.8724,"Pyrrolidine, 2-butyl-1-methyl-",3447-03-8,C9H19N,785960,92.8,0.17,1.01
9.1987,L-Valine,7364-44-5,C11H27NO2Si2,1299864,95.2,0.28,1.66
9.3493,Ethylphosphonic acid,17882-98-3,C8H23O4PSi2,343406,88.9,0.07,0.44
9.6046,Benzoic Acid,2078-12-8,C10H1402Si,6044271,98.6,1.32,7.74
9.7692,L-Serine,70125-39-2,C9H23NO3Si2,439379,82,0.10,0.56
9.8524,"N-Methyl-L-proline, pentyl ester",1000452-77-3,C11H21NO2,313471,82.6,0.07,0.40
9.9276,Ethanolamine,5630-81-9,C11H31NOSi3,1040378,89.3,0.23,1.33
10.0462,Glycerol,6787-10-6,C12H3203Si3,78133020,96,17.06,100
10.0606,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,689620,82.2,0.15,0.88
10.2469,Niacin,25436-37-7,C9H13NO2Si,605649,93.8,0.13,0.78
10.3074,L-Isoleucine,7483-92-3,C12H29NO2Si2,978527,91.8,0.21,1.25
10.3568,L-Proline,7364-47-8,C11H25NO2Si2,5251546,92.7,1.15,6.72
10.5214,Butanedioic acid,40309-57-7,C10H2204Si2,1476803,90.2,0.32,1.89
10.6172,Tropine,46320-09-6,C11H23NOSi,3112949,97.1,0.68,3.98
10.8418,Glyceric acid,38191-87-6,C12H3004Si3,250040,85,0.05,0.32
11.2402,Serine,64625-17-8,C12H31NO3Si3,989859,93.5,0.22,1.27
11.6081,L-Threonine,7537-02-2,C13H33NO3Si3,575624,90.2,0.13,0.74
12.7008,Niacinamide,1000374-74-5,C9H14N2OSi,299395,83.6,0.07,0.38
12.8926,Malic acid,38166-11-9,C13H3005Si3,1306519,91.2,0.29,1.67
13.1629,Salicylic acid,3789-85-3,C13H2203Si2,898786,89.5,0.20,1.15
13.3879,4-Aminobutyric acid,1000386-39-6,C13H33NO2Si3,2024734,95.2,0.44,2.59
13.514,cinnamic acid,140-10-3,C12H1602Si,868382,81.1,0.19,1.11
13.8258,Phenethylamine,58367-45-6,C14H27NSi2,386434,87.9,0.08,0.49
14.0407,Ecgonine methyl ester,1000417-19-3,C13H25NO3Si,67871198,82.9,14.82,86.87
14.4949,3-Hydroxybenzoic acid,3782-84-1,C13H2203Si2,210258,81.3,0.05,0.27
14.5647,L-Phenylalanine,7364-51-4,C15H27NO2Si2,1136218,95,0.25,1.45
14.6881,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,15435687,98.2,3.37,19.76
14.9341,Ecgonine,1000417-19-4,C15H31NO3Si2,4657925,89.1,1.02,5.96
15.0687,Asparagine,55649-62-2,C13H32N203Si3,221427,87.1,0.05,0.28
15.823,Putrescine,39772-63-9,C16H44N2Si4,1447665,95.2,0.32,1.85
16.5821,Shikimic acid,55520-78-0,C19H4205Si4,706484,86.6,0.15,0.90
16.6745,Protocatechoic acid,2347-40-2,C16H3004Si3,81653,82.4,0.02,0.10
17.2719,quinic acid(S),77-95-2,C22H52O6Si5,5076522,92.9,1.11,6.50
17.8489,4-Hydroxycinnamic acid,7400-08-0,C15H2403Si2,3187067,91.2,0.70,4.08
18.3315,Eicosane,112-95-8,C20H42,1115023,91.4,0.24,1.43
18.7903,Palmitic Acid,55520-89-3,C19H4002Si,39225350,99.3,8.56,50.2
19.3229,Ferulic acid,10517-09-6,C16H2604Si2,985267,92.3,0.22,1.26
19.5311,Methyl Stearate,112-61-8,C19H3802,9436907,95.3,2.06,12.08
19.5519,Myo-Inositol,2582-79-8,C24H6006Si6,954484,92.6,0.21,1.22
19.7011,HeptadecanoicAcid,506-12-7,C20H42O2Si,642377,81.8,0.14,0.82
19.7446,Caffeic acid,501-16-6,C18H3204Si3,418684,83.2,0.09,0.54
20.0086,Phytol2,7541-49-3,C23H48OSi,8559506,95.8,1.87,10.96
20.3285,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,4079022,86,0.89,5.22
20.3946,alpha-Linolenic acid,97844-13-8,C21H38O2Si,15033263,90.4,3.28,19.24
20.4888,"13-Octadecenoic acid, (E)-",1000333-61-7,C21H42O2Si,3498061,85.2,0.76,4.48
20.578,Stearic acid,18748-91-9,C21H44O2Si,21587660,98.1,4.71,27.63
20.7526,Cocaine,50-36-2,C17H21N04,60507385,98.9,13.21,77.44
21.2419,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,519721,89.1,0.11,0.67
21.3348,Benzoylecgonine,864281-94-7,C19H27NO4Si,3787964,89.9,0.83,4.85
21.6237,"9-Octadecenamide, (Z)-",301-02-0,C18H35N0,3716707,92.7,0.81,4.76
22.0432,Oleamide,1000308-88-0,C21H43NOSi,21352342,94.3,4.66,27.33
23.4507,1-Monopalmitin,1188-74-5,C25H54O4Si2,3059363,89.1,0.67,3.92
23.4701,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,1315920,87.9,0.29,1.68
27.242,1-Octacosanol,959269-04-6,C31H66OSi,23218154,98.3,5.07,29.72
