RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.347,2-Aminobutanoic acid,96188-39-5,C7H17NO2Si,8720899,100,0.15,2.01
6.471,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,3231491,100,0.05,0.75
6.481,2-Hydroxypyridine,142-08-5,C8H13NOSi,2762417,92,0.05,0.64
6.87,Lactic Acid,17596-96-2,C9H2203Si2,167761149,100,3,38.74
7.078,Glycolic acid,33581-77-0,C8H2003Si2,19526890,100,0.33,4.51
7.279,2-Propenoic acid,55191-13-4,C9H2003Si2,2371001,100,0.04,0.55
7.367,L-Valine,7480-78-6,C8H19NO2Si,12765765,90,0.21,2.95
7.505,L-Alanine,9476035,C9H23NO2Si2,51183513,100,0.86,11.82
7.88,2-Hydroxybutyric acid,55133-93-2,C10H2403Si2,320543,100,0.01,0.07
7.936,Oxalic acid,5987884,C8H1804Si2,1525606,100,0.03,0.35
8.107,Hydracrylic acid,55162-32-8,C9H2203Si2,13470654,100,0.23,3.11
8.261,L-Leucine,1000333-25-0,C9H21NO2Si,3891657,88,0.07,0.9
8.363,Propanoic acid,55530-42-2,C10H2403Si2,5765020,100,0.1,1.33
8.439,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,41948912,100,0.7,9.69
8.847,Mimosine l,500-44-7,C14H26N204Si2,636133,81,0.01,0.15
8.867,"Pyrrolidine, 2-butyl-1-methyl-",565098,C9H19N,9658973,100,0.16,2.23
9.2,L-Valine,7364-44-5,C11H27NO2Si2,148158006,100,2,34.21
9.348,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,31272825,100,0.52,7.22
9.603,Benzoic Acid,65357,C10H1402Si,39340569,100,0.66,9.08
9.771,L-Serine,70125-39-2,C9H23NO3Si2,34303910,100,0.57,7.92
9.851,"N-Methyl-L-proline, pentyl ester",1000452-77-3,C11H21NO2,13009356,100,0.22,3
9.929,Ethanolamine,5630-81-9,C11H31NOSi3,183706743,100,3,42.42
9.999,L-Norleucine,55320-11-1,C12H29NO2Si2,56592146,100,0.95,13.07
10.051,Glycerol,1785220,C12H3203Si3,324119517,100,5,74.84
10.069,"Silanol, trimethyl-, phosphate (3:1)",3140121,C9H2704PSi3,18869165,100,0.32,4.36
10.247,Niacin,25436-37-7,C9H13NO2Si,8156298,100,0.14,1.88
10.312,L-Isoleucine,7483-92-3,C12H29NO2Si2,68306668,100,1,15.77
10.354,L-Proline,7364-47-8,C11H25NO2Si2,153809010,100,3,35.52
10.495,Glycine,5630-82-0,C11H29NO2Si3,17123682,100,0.29,3.95
10.524,Butanedioic acid,40309-57-7,C10H2204Si2,75226038,100,1,17.37
10.616,Tropine,46320-09-6,C11H23NOSi,43932198,100,0.74,10.14
10.702,Methylsuccinic acid,55557-26-1,C11H2404Si2,2638545,100,0.04,0.61
10.843,Glyceric acid,38191-87-6,C12H3004Si3,41315657,100,0.69,9.54
10.953,"2-Butenedioic acid, (E)-",5866592,C10H2004Si2,2312945,100,0.04,0.53
11.046,"2,3-Dihydroxybutanoic acid",38165-91-2,C13H3204Si3,4096770,100,0.07,0.95
11.243,Serine,64625-17-8,C12H31NO3Si3,227009296,100,3.8,52.42
11.613,L-Threonine,2058906,C13H33NO3Si3,150339028,100,3,34.72
11.846,Ethyl .alpha.-D-glucopyranoside,1000365-90-0,C20H4806Si4,2410714,100,0.04,0.56
11.923,Butanoic acid,55191-52-1,C13H3204Si3,1577814,100,0.03,0.36
12.013,L-Aspartic acid,1000333-28-8,C10H23NO4Si2,6439410,100,0.11,1.49
12.091,.beta.-Alanine,55255-77-1,C12H31NO2Si3,12579312,100,0.21,2.9
12.405,Homoserine,1177129-58-6,C13H33NO3Si3,2637884,100,0.04,0.61
12.661,Trigonelline,1000141-35-2,C10H16NO2Si,1042579,100,0.02,0.24
12.705,Niacinamide,1000374-74-5,C9H14N2OSi,1858941,100,0.03,0.43
12.724,Citramalic acid,1000333-86-6,C14H3205Si3,4356423,100,0.07,1.01
12.896,Malic acid,38166-11-9,C13H3005Si3,272049690,100,5,62.82
13.078,Trigonelline,1000141-35-2,C10H16NO2Si,9919859,100,0.17,2.29
13.165,Salicylic acid,3789-85-3,C13H2203Si2,5361396,100,0.09,1.24
13.21,Meso-Erythritol,1000380-15-5,C16H4204Si4,28420497,100,0.48,6.56
