RT,Compound Name,CAS#,Formula,Area MI ,Match Score,Sample,Sample
6.4785,2-Hydroxypyridine,142-08-5,C8H13NOSi,690178,91.60,0.59,2.58
6.8664,Lactic Acid,17596-96-2,C9H22O3Si2,1456078,92.10,1.25,5.44
7.0791,Glycolic acid,33581-77-0,C8H2003Si2,132226,87.30,0.11,0.49
8.0786,Oxalic acid,18294-04-7,C8H18O4Si2,26754120,83.80,23.00,100.00
9.5985,Benzoic Acid,2078-12-8,C10H1402Si,299153,95.40,0.26,1.12
10.0453,Glycerol,6787-10-6,C12H32O3Si3,3279196,94.80,2.82,12.26
10.0572,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,346850,89.50,0.30,1.30
10.5232,Butanedioic acid,40309-57-7,C10H22O4Si2,179390,82.70,0.15,0.67
13.3019,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,126923,87.20,0.11,0.47
13.5160,cinnamic acid,140-10-3,C12H16O2Si,544069,86.70,0.47,2.03
14.7120,lauric acid,143-07-7,C15H32O2Si,255964,82.70,0.22,0.96
18.7894,Palmitic Acid,55520-89-3,C19H4002Si,18479408,99.00,15.88,69.07
19.5334,Methyl Stearate,112-61-8,C19H3802,9185285,96.00,7.90,34.33
20.0094,Phytol2,7541-49-3,C23H48OSi,7070034,94.80,6.08,26.43
20.3288,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,6670916,83.20,5.73,24.93
20.3903,alpha-Linolenic acid,97844-13-8,C21H38O2Si,4100047,88.40,3.52,15.32
20.5797,Stearic acid,18748-91-9,C21H44O2Si,9232723,98.30,7.94,34.51
20.7523,Cocaine,50-36-2,C17H21N04,4083553,98.10,3.51,15.26
22.0443,Oleamide,1000308-88-0,C21H43NOSi,8672839,93.10,7.45,32.42
22.2540,abietic acid,514-10-3,C23H38O2Si,5808579,93.20,4.99,21.71
23.4737,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,1317882,89.70,1.13,4.93
27.2413,1-Octacosanol,959269-04-6,C31H66OSi,7651545,94.10,6.58,28.60
