RT,Compound Name,CAS#,Formula,Area MI,Match Score,Sample,Sample
6.4788,2-Hydroxypyridine,142-08-5,C5H5NO,724081,91.3,0.36,1.82
6.8668,Lactic Acid,17596-96-2,C9H22O3Si2,4270185,94.7,2.13,10.71
7.0794,Glycolic acid,33581-77-0,C8H2003Si2,203173,91.1,0.1,0.51
8.0783,Oxalic acid,18294-04-7,C8H18O4Si2,32400044,83.8,16.14,81.25
9.5986,Benzoic Acid,2078-12-8,C10H1402Si,463466,95.9,0.23,1.16
9.7896,Octanoic acid,55494-06-9,C11H24O2Si,238830,88.7,0.12,0.6
10.0457,Glycerol,6787-10-6,C12H32O3Si3,39876915,95.6,19.87,100
10.0603,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,401860,80.7,0.2,1.01
10.5211,Butanedioic acid,40309-57-7,C10H22O4Si2,304832,84.1,0.15,0.76
13.3025,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,173899,82.9,0.09,0.41
13.5158,cinnamic acid,140-10-3,C12H16O2Si,1038800,91.5,0.52,2.61
14.7109,lauric acid,143-07-7,C15H32O2Si,334869,82.1,0.17,0.84
14.9337,Ecgonine,1000417-19-4,C15H31NO3Si2,22730946,90,11.33,57
15.7492,L-(-)-Arabitol,1000380-37-6,C20H52O5Si5,64431,84.2,0.03,0.1
16.3112,Octadecane,593-45-3,C18H38,290042,83.9,0.14,0.73
18.0183,D-Mannitol,14317-07-8,C24H62O6Si6,393709,92.9,0.2,0.95
18.7912,Palmitic Acid,55520-89-3,C19H4002Si,23970384,99,11.94,60.11
19.5324,Methyl Stearate,112-61-8,C19H3802,8430959,94.9,4.2,21.11
20.009,Phytol,7541-49-3,C23H48OSi,4093296,94.5,2.04,10.26
20.3277,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,5950388,83.8,2.96,14.92
20.3948,alpha-Linolenic acid,97844-13-8,C21H38O2Si,8916415,82.2,4.44,22.36
20.5778,Stearic acid,18748-91-9,C21H44O2Si,18647697,97.7,9.29,46.76
20.7507,Cocaine,50-36-2,C17H21N04,2912488,96.4,1.45,7.3
21.3356,Benzoylecgonine,864281-94-7,C19H27NO4Si,5505560,94.3,2.74,13.81
21.6218,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,1870369,84.1,0.93,4.6
22.0437,Oleamide,1000308-88-0,C21H43NOSi,7927739,93.1,3.95,19.88
22.2535,abietic acid,514-10-3,C23H38O2Si,3871789,91.4,1.93,9.71
23.4524,1-Monopalmitin,1188-74-5,C25H54O4Si2,1795927,81.9,0.89,4.5
23.473,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,1432405,88.1,0.71,3.5
27.2379,1-Octacosanol,959269-04-6,C31H66OSi,1456209,87,0.73,3.65
