RT,Compound Name,CAS#,Formula,Area MI Match Score,,Sample,Sample
6.4701,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,528811,91.7,0.110,0.460
6.4789,2-Hydroxypyridine,142-08-5,C5H5NO,2573471,93.9,0.520,2.230
6.8675,Lactic Acid,17596-96-2,C9H2203Si2,3021345,93.9,0.610,2.620
8.0790,Oxalic acid,18294-04-7,C8H1804Si2,25430798,83.7,5.100,22.070
8.7877,Hydroxylamine,22737-37-7,C6H19NOSi2,256666,82.7,0.050,0.220
9.1983,L-Valine,7364-44-5,C11H27NO2Si2,132003,83.5,0.030,0.110
9.3525,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,50449,82.3,0.010,0.040
9.5960,Benzoic Acid,2078-12-8,C10H1402Si,3093775,98.3,0.620,2.690
10.0456,Glycerol,6787-10-6,C12H3203Si3,23760384,95.3,4.760,20.620
10.0593,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H2704PSi3,1491847,89.3,0.300,1.290
10.3558,L-Proline,7364-47-8,C11H25NO2Si2,908428,90.2,0.180,0.790
10.5224,Butanedioic acid,40309-57-7,C10H22O4Si2,406900,86.6,0.080,0.350
10.8397,Glyceric acid,38191-87-6,C12H3004Si3,216258,88.6,0.040,0.190
12.8612,Pentadecane,629-62-9,C15H32,1242186,87.0,0.250,1.080
12.8877,Malic acid,38166-11-9,C13H3005Si3,275448,81.4,0.060,0.240
13.1617,Salicylic acid,3789-85-3,C13H22O3Si2,327384,88.7,0.070,0.280
13.3045,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,480143,86.4,0.100,0.420
13.5150,cinnamic acid,140-10-3,C12H16O2Si,1722789,91.7,0.350,1.500
14.0838,Hexadecane,544-76-3,C16H34,320182,82.8,0.060,0.280
14.6903,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,691347,84.3,0.140,0.600
14.7113,lauric acid,143-07-7,C15H3202Si,1107841,86.8,0.220,0.960
14.9356,Ecgonine,1000417-19-4,C15H31NO3Si2,1382335,83.9,0.280,1.200
15.7556,L-(-)-Arabitol,1000380-37-6,C20H52O5Si5,256048,90.5,0.050,0.220
16.3102,Octadecane,593-45-3,C18H38,1627758,91.4,0.330,1.410
16.8424,Myristic acid,18603-17-3,C17H3602Si,4866842,80.7,0.980,4.220
17.2728,quinic acid(S),77-95-2,C22H5206Si5,1791278,92.6,0.360,1.550
17.4130,D-Fructose,56196-14-6,C22H55NO6Si5,6088200,96.6,1.220,5.280
17.5156,D-Fructose,57-48-7,C22H55NO6Si5,3605909,91.7,0.720,3.130
17.6861,D-Allose,1000380-19-8,C22H55NO6Si5,3239280,91.6,0.650,2.810
17.8743,D-Allose,1000380-19-7,C22H55NO6Si5,502836,88.4,0.100,0.440
17.9596,1-hexadecanol,36653-82-4,C19H42OSi,747231,81.2,0.150,0.650
18.0168,D-Mannitol,14317-07-8,C24H6206Si6,4130890,94.1,0.830,3.590
18.3308,Eicosane,112-95-8,C20H42,8774282,92.2,1.760,7.620
18.6109,palmitoleic acid,373-49-9,C19H3802Si,1722423,89.9,0.350,1.490
18.7894,Palmitic Acid,55520-89-3,C19H4002Si,115222315,99.5,23.090,100.000
19.4564,HeptadecanoicAcid,506-12-7,C20H42O2Si,3469267,92.1,0.700,3.010
19.5337,Methyl Stearate,112-61-8,C19H3802,10023265,95.1,2.010,8.700
19.5543,Myo-Inositol,2582-79-8,C24H6006Si6,509246,88.9,0.100,0.440
20.0095,Phytol2,7541-49-3,C23H480Si,62056420,95.7,12.440,53.860
20.3296,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,29323390,85.7,5.880,25.450
20.3962,alpha-Linolenic acid,97844-13-8,C21H38O2Si,31948674,80.3,6.400,27.730
20.5780,Stearic acid,18748-91-9,C21H4402Si,44854491,98.4,8.990,38.930
20.7521,Cocaine,50-36-2,C17H21N04,24479425,98.4,4.910,21.250
21.2433,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,5277688,93.0,1.060,4.580
22.0442,Oleamide,1000308-88-0,C21 H43NOSi,19862297,94.3,3.980,17.240
22.2541,abietic acid,514-10-3,C23H3802Si,18239376,94.0,3.660,15.830
23.4518,1-Monopalmitin,1188-74-5,C25H5404Si2,3024573,83.9,0.610,2.620
23.4690,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,5694956,93.3,1.140,4.940
23.7603,DocosanoicAcid,112-85-6,C25H5202Si,2393824,85.0,0.480,2.080
27.2452,1-Octacosanol,959269-04-6,C31 H660Si,14462094,96.4,2.900,12.550
27.4625,alphatocopherol,59-02-9,C32H5802Si,1397979,85.8,0.280,1.210
