RT,Compound Name,CAS#,Formula,Area MI, Match Score,Sample,Sample
6.4694,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,312525,85.20,0.050,0.170
6.4798,2-Hydroxypyridine,142-08-5,C8H13NOSi,2091077,93.10,0.360,1.130
6.8682,Lactic Acid,17596-96-2,C9H22O3Si2,3740735,94.30,0.650,2.010
8.0797,Oxalic acid,18294-04-7,C8H1804Si2,17620453,83.30,3.060,9.490
9.3529,Ethylphosphonic acid,17882-98-3,C8H23O4PSi2,107176,83.30,0.020,0.060
9.6014,Benzoic Acid,2078-12-8,C10H1402Si,1234026,96.70,0.210,0.660
9.7930,Octanoic acid,55494-06-9,C11H24O2Si,387187,88.80,0.070,0.210
10.0469,Glycerol,6787-10-6,C12H32O3Si3,10056474,95.00,1.750,5.420
10.0590,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,2972225,92.30,0.520,1.600
10.3577,L-Proline,7364-47-8,C11H25NO2Si2,80342,80.60,0.010,0.040
10.5240,Butanedioic acid,40309-57-7,C10H22O4Si2,288050,85.40,0.050,0.160
13.1630,Salicylic acid,3789-85-3,C13H22O3Si2,236271,85.00,0.040,0.130
13.3043,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,561084,83.10,0.100,0.300
13.5174,cinnamic acid,140-10-3,C12H16O2Si,955237,85.40,0.170,0.510
14.6891,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,820454,86.00,0.140,0.440
14.7147,lauric acid,143-07-7,C15H32O2Si,972674,88.10,0.170,0.520
14.9358,Ecgonine,1000417-19-4,C15H31NO3Si2,1938113,87.40,0.340,1.040
15.7551,L-(-)-Arabitol,1000380-37-6,C20H52O5Si5,230743,92.90,0.040,0.120
17.6037,1-hexadecanol,36653-82-4,C19H42OSi,11767221,89.50,2.040,6.340
18.7914,Palmitic Acid,55520-89-3,C19H4002Si,49364163,99.30,8.570,26.590
19.4564,HeptadecanoicAcid,506-12-7,C20H42O2Si,2093050,89.00,0.360,1.130
19.5342,Methyl Stearate,112-61-8,C19H3802,9452837,94.60,1.640,5.090
20.0106,Phytol2,7541-49-3,C23H48OSi,164344088,96.40,28.540,88.520
20.3287,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,6022187,81.60,1.050,3.240
20.5797,Stearic acid,18748-91-9,C21H4402Si,43863994,98.30,7.620,23.630
20.7539,Cocaine,50-36-2,C17H21N04,4668034,89.20,0.810,2.510
21.6264,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,6390787,85.60,1.110,3.440
22.0453,Oleamide,1000308-88-0,C21H43NOSi,29207860,92.80,5.070,15.730
22.2553,abietic acid,514-10-3,C23H38O2Si,13197541,93.00,2.290,7.110
22.3893,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,1652772,83.50,0.290,0.890
27.2554,1-Octacosanol,959269-04-6,C31H66OSi,185655477,94.90,32.240,100.000
27.4680,alphatocopherol,59-02-9,C32H58O2Si,3547573,90.70,0.620,1.910
