RT,Compound Name,CAS#,Formula,Area MI,Match Score,Sample,Sample
6.4707,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,6099969,98,0.2,1.58
6.4807,2-Hydroxypyridine,-641879,C5H5NO,2613654,92.3,0.09,0.68
6.8662,Lactic Acid,17596-96-2,C9H2203Si2,41113895,99.2,1.38,10.68
7.0783,Glycolic acid,33581-77-0,C8H2003Si2,38671573,98,1.3,10.05
7.2773,2-Propenoic acid,55191-13-4,C9H2003Si2,1712041,94.2,0.06,0.44
7.5058,L-Alanine,9476035,C9H23NO2Si2,41584869,99.3,1.4,10.8
7.7103,2-hexenoic acid,13419-69-7,C6H1002,705930,82.7,0.02,0.18
7.8845,2-Hydroxybutyric acid,55133-93-2,C10H2403Si2,309918,87,0.01,0.08
7.9327,Oxalic acid,5987884,C8H1804Si2,3247952,84.3,0.11,0.84
8.1069,Hydracrylic acid,55162-32-8,C9H2203Si2,8292246,80.9,0.28,2.15
8.3614,Propanoic acid,55530-42-2,C10H2403Si2,3327251,89.5,0.11,0.86
8.4395,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,37743570,99.1,1.27,9.81
8.8729,"Pyrrolidine, 2-butyl-1-methyl-",565098,C9H19N,737030,83.8,0.02,0.19
9.2009,L-Valine,7364-44-5,C11H27NO2Si2,44313368,99.7,1.49,11.51
9.3494,Ethylphosphonic acid,17882-98-3,C8H2304PSi2,4444987,98.4,0.15,1.15
9.5961,Benzoic Acid,65357,C10H1402Si,61536038,98.7,2.07,15.99
9.8517,"N-Methyl-L-proline, pentyl ester",1000452-77-3,C11H21NO2,6915529,95.6,0.23,1.8
9.928,Ethanolamine,5630-81-9,C11H31NOSi3,3488713,87.6,0.12,0.91
9.9985,L-Norleucine,55320-11-1,C12H29NO2Si2,9631314,95.8,0.32,2.5
10.0509,Glycerol,1785220,C12H3203Si3,366488794,99.7,12.3,95.21
10.2483,Niacin,25436-37-7,C9H13NO2Si,3674726,97.4,0.12,0.95
10.3106,L-Isoleucine,7483-92-3,C12H29NO2Si2,24972047,94.3,0.84,6.49
10.3644,L-Proline,7364-47-8,C11H25NO2Si2,384918437,83.1,12.92,100
10.4957,Glycine,5630-82-0,C11H29NO2Si3,249398,87.4,0.01,0.06
10.5228,Butanedioic acid,40309-57-7,C10H2204Si2,31526368,99.5,1.06,8.19
10.6163,Tropine,46320-09-6,C11H23NOSi,27083634,99.2,0.91,7.04
10.8419,Glyceric acid,38191-87-6,C12H3004Si3,48154815,98.2,1.62,12.51
11.0462,"2,3-Dihydroxybutanoic acid",38165-91-2,C13H3204Si3,2292905,93.3,0.08,0.6
11.2408,Serine,64625-17-8,C12H31NO3Si3,6168133,95.3,0.21,1.6
11.6108,L-Threonine,2058906,C13H33NO3Si3,6281325,96.3,0.21,1.63
11.8475,Ethyl .alpha.-D-glucopyranoside,1000365-90-0,C20H4806Si4,2553087,92.2,0.09,0.66
11.9207,Butanoic acid,55191-52-1,C13H3204Si3,2414562,92.5,0.08,0.63
12.7292,Citramalic acid,1593835,C14H3205Si3,2158472,84.7,0.07,0.56
12.8938,Malic acid,38166-11-9,C13H3005Si3,83877820,96.3,2.82,21.79
13.0778,Trigonelline,1000141-35-2,C10H16NO2Si,1415785,93,0.05,0.37
13.1636,Salicylic acid,3789-85-3,C13H2203Si2,34771337,94.7,1.17,9.03
13.2087,Meso-Erythritol,1000380-15-5,C16H4204Si4,53503455,94,1.8,13.9
13.3057,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,109620262,99.6,3.68,28.48
13.3898,4-Aminobutanoic acid,39508-23-1,C13H33NO2Si3,18169680,88.8,0.61,4.72
13.5177,cinnamic acid,-642550,C12H16O2Si,17419711,83.6,0.58,4.53
13.6591,"2,3,4-Trihydroxybutyric acid",38191-88-7,C16H4005Si4,96466816,91.2,3.24,25.06
13.9284,Pentanedioic acid,55530-62-6,C14H3205Si3,1658118,92.5,0.06,0.43
14.2706,Pentanedioic acid,55590-95-9,C15H3405Si3,6453337,92.4,0.22,1.68
14.4583,L-Glutamic acid,5144629,C14H33NO4Si3,1253368,86.2,0.04,0.33
14.5671,L-Phenylalanine,7364-51-4,C15H27NO2Si2,3632119,87.9,0.12,0.94
14.6543,Xylonic acid,32384-59-1,C14H3205Si3,5304393,94.9,0.18,1.38
14.6903,Ecgonine ethyl ester,1000417-19-5,C14H27NO3Si,45757989,94.6,1.54,11.89
14.9356,Ecgonine,1000417-19-4,C15H31NO3Si2,181474102,90.8,6.09,47.15
15.4986,Xylitol,14199-72-5,C20H5205Si5,7343967,96.4,0.25,1.91
15.7547,L-(-)-Arabitol,1000380-37-6,C20H5205Si5,57731286,98.4,1.94,15
16.2691,2-Keto-l-gluconic acid,1000059-82-4,C21 HSO07Si5,13825927,95.3,0.46,3.59
16.5895,Shikimic acid,55520-78-0,C19H4205Si4,4620748,89.9,0.16,1.2
16.6761,Protocatechoic acid,2347-40-2,C16H3004Si3,2453939,84.1,0.08,0.64
17.1851,Adenine,5878678,C11H21N5Si2,9096183,88.4,0.31,2.36
17.5209,D-Fructose,56196-14-6,C22H55NO6Si5,214630905,86,7.2,55.76
17.5664,d-Glucose,130405-10-6,C22H55NO6Si5,26228940,88.1,0.88,6.81
17.6889,D-Allose,1000380-19-8,C22H55NO6Si5,174411256,90.3,5.85,45.31
17.8267,D-(+)-Glucosamine,1000141-26-9,C24H61NO5Si6,8660136,92.3,0.29,2.25
17.8527,4-Coumaric acid,10517-30-3,C15H2403Si2,2553986,88,0.09,0.66
17.8825,D-Allose,1000380-19-7,C22H55NO6Si5,31224511,92.2,1.05,8.11
18.0189,D-Mannitol,4535406,C24H6206Si6,52800778,96.1,1.77,13.72
18.7413,D-Gluconic acid,34290-52-3,C24H6007Si6,6544409,97.6,0.22,1.7
18.7902,Palmitic Acid,55520-89-3,C19H4002Si,18941132,99.4,0.64,4.92
19.1519,Galactaric Acid,526-99-8,C24H5808Si6,691423,80.9,0.02,0.18
19.3218,Ferulic acid,3147545,C16H2604Si2,365114,82.4,0.01,0.09
19.5312,Methyl Stearate,112-61-8,C19H3802,5879358,89.7,0.2,1.53
19.553,Myo-Inositol,2582-79-8,C24H6006Si6,76444009,97.5,2.57,19.86
19.797,D-Allose,1000380-40-9,C24H61NO6Si6,18408582,90.9,0.62,4.78
20.5784,Stearic acid,18748-91-9,C21 H4402Si,10554539,97.1,0.35,2.74
20.7544,Cocaine,50-36-2,C17H21N04,86575013,99.2,2.91,22.49
21.2436,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",529-38-4,C18H23N04,16492523,93.4,0.55,4.28
21.3378,Benzoylecgonine,864281-94-7,C19H27NO4Si,158662819,94.1,5.33,41.22
21.5247,Glyceryl-glycoside ether,1000365-90-1,C27H6608Si6,9752727,97.8,0.33,2.53
22.044,Oleamide,1000308-88-0,C21H43NOSi,17100589,95.8,0.57,4.44
23.4528,1-Monopalmitin,1188-74-5,C25H5404Si2,4128507,85.7,0.14,1.07
23.4685,trans-Cinnamoylcocaine,50763-20-7,C19H23N04,29843315,96.8,1,7.75
26.758,Galactinol,1000380-09-4,C39H94011Si9,4242262,89.6,0.14,1.1
26.8414,4-0-Coumaroyl-D-quinic acid,179231-13-1,C31H5808Si5,3894891,85.6,0.13,1.01
27.0024,3-0-Coumaroyl-D-quinic acid,179465-94-2,C31H5808Si5,4126022,84,0.14,1.07
27.2448,1-Octacosanol,959269-04-6,C31H66OSi,5121801,91.8,0.17,1.33
27.465,Chlorogenic acid,1000413-96-0,C34H6609Si6,9984483,96.5,0.34,2.59
