RT,Compound Name,CAS#,Formula,Area MI Match Score,,Sample,Sample
6.4695,Tris(trimethylsilyl)carbamate,1000366-58-2,C10H27NO2Si3,1451356,95.6,0.230,0.510
6.4798,2-Hydroxypyridine,142-08-5,C8H13NOSi,1411030,90.5,0.220,0.500
6.8670,Lactic Acid,17596-96-2,C9H22O3Si2,5199296,94.6,0.820,1.830
7.0788,Glycolic acid,33581-77-0,C8H2003Si2,407917,90.6,0.060,0.140
7.5047,L-Alanine,27844-07-1,C9H23NO2Si2,9218854,95.6,1.460,3.240
8.0790,Oxalic acid,18294-04-7,C8H18O4Si2,22596349,83.7,3.580,7.940
8.2591,L-Leucine,1000333-25-0,C9H21NO2Si,669102,87.7,0.110,0.240
8.4505,N-Methyl-L-proline,1000452-77-9,C9H19NO2Si,883584,86.4,0.140,0.310
9.1995,L-Valine,7364-44-5,C11H27NO2Si2,4298388,98.7,0.680,1.510
9.5953,Benzoic Acid,2078-12-8,C10H1402Si,229532,89.3,0.040,0.080
9.7713,L-Serine,70125-39-2,C9H23NO3Si2,283244,83.1,0.040,0.100
9.8515,"N-Methyl-L-proline, pentyl ester",1000452-77-3,C11H21NO2,242282,90.6,0.040,0.090
9.9277,Ethanolamine,5630-81-9,C11H31NOSi3,1010382,89.3,0.160,0.360
9.9975,L-Norleucine,55320-11-1,C12H29NO2Si2,4627081,95.9,0.730,1.630
10.0466,Glycerol,6787-10-6,C12H32O3Si3,53036831,95.4,8.400,18.640
10.0614,"Silanol, trimethyl-, phosphate (3:1)",10497-05-9,C9H27O4PSi3,529104,83.0,0.080,0.190
10.2447,Niacin,25436-37-7,C9H13NO2Si,207439,93.1,0.030,0.070
10.3081,L-Isoleucine,7483-92-3,C12H29NO2Si2,2824906,95.9,0.450,0.990
10.3565,L-Proline,7364-47-8,C11H25NO2Si2,5888040,93.6,0.930,2.070
10.4953,Glycine,5630-82-0,C11H29NO2Si3,230867,91.5,0.040,0.080
10.5217,Butanedioic acid,40309-57-7,C10H22O4Si2,609722,89.7,0.100,0.210
10.6195,Tropine,46320-09-6,C11H23NOSi,685569,87.9,0.110,0.240
11.2399,Serine,64625-17-8,C12H31NO3Si3,842170,93.3,0.130,0.300
11.6100,L-Threonine,7537-02-2,C13H33NO3Si3,1088173,95.1,0.170,0.380
13.3043,L-5-Oxoproline,30274-77-2,C11H23NO3Si2,1856702,95.8,0.290,0.650
13.3463,L-Glutamic acid,5269-43-2,C11H25NO4Si2,428088,81.4,0.070,0.150
13.5143,cinnamic acid,140-10-3,C12H16O2Si,925683,80.7,0.150,0.330
14.4586,L-Glutamic acid,15985-07-6,C14H33NO4Si3,1298875,92.3,0.210,0.460
14.4997,3-Hydroxybenzoic acid,3782-84-1,C13H22O3Si2,191897,81.0,0.030,0.070
14.5644,L-Phenylalanine,7364-51-4,C15H27NO2Si2,816319,94.3,0.130,0.290
14.9340,Ecgonine,1000417-19-4,C15H31NO3Si2,122816346,91.2,19.450,43.160
15.7542,L-(-)-Arabitol,1000380-37-6,C20H52O5Si5,25933490,98.7,4.110,9.110
15.8218,Putrescine,39772-63-9,C16H44N2Si4,299899,83.8,0.050,0.110
17.6866,D-Allose,1000380-19-8,C22H55NO6Si5,331145,85.8,0.050,0.120
17.8506,4-Coumaric acid,10517-30-3,C15H24O3Si2,108127,82.0,0.020,0.040
18.0199,D-Mannitol,14317-07-8,C24H62O6Si6,284570222,94.3,45.070,100.000
18.7885,Palmitic Acid,55520-89-3,C19H4002Si,19075983,99.2,3.020,6.700
19.5325,Methyl Stearate,112-61-8,C19H3802,7800216,95.1,1.240,2.740
19.5530,Myo-Inositol,2582-79-8,C24H6006Si6,1259335,93.1,0.200,0.440
20.0084,Phytol2,7541-49-3,C23H48OSi,8020800,95.5,1.270,2.820
20.3291,"9,12-Octadecadienoic acid (Z,Z)-",56259-07-5,C21H4002Si,6022541,83.1,0.950,2.120
20.3958,alpha-Linolenic acid,97844-13-8,C21H38O2Si,18521341,88.5,2.930,6.510
20.5783,Stearic acid,18748-91-9,C21H44O2Si,9162050,98.1,1.450,3.220
21.6235,"9-Octadecenamide, (Z)-",301-02-0,C18H35NO,987019,82.2,0.160,0.350
22.2544,abietic acid,514-10-3,C23H38O2Si,1069777,88.2,0.170,0.380
23.4516,1-Monopalmitin,1188-74-5,C25H54O4Si2,1446359,87.9,0.230,0.510
