clase,compuesto
Aldehídos,4-hydroxybenzaldehyde
Ácidos,3-0-Coumaroyl-D-quinic acid
Ácidos,5-0-Coumaroyl-D-quinic acid
Ácidos,abietic acid
Ácidos,Caffeic acid
Ácidos,cinnamic acid
Ácidos,Chlorogenic acid
Ácidos,Ferulic acid
Ácidos,4-Coumaric acid
Ácidos,4-0-Coumaroyl-D-quinic acid
Ácidos,Protocatechoic acid
Ácidos,Salicylic acid
Ácidos,Shikimic acid
Alcaloides,Benzoylecgonine
Alcaloides,Cocaine
Alcaloides,Ecgonine
Alcaloides,Ecgonine ethyl ester
Alcoholes,Phytol
Alcaloides,Ecgonine methyl ester
Alcaloides,Mimosine l
Alcaloides,Trigonelline
Alcaloides,Tropine
Alcaloides,trans-Cinnamoylcocaine
Aminoácidos,Niacin
Amidas,Niacinamide
Amidas,Oleamide
Alcoholes,Phytosphingosine1
Aminas,Phenethylamine
