All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturados,Insaturados,Ácidos,Bases,Alcoholes,Aminoderivados,Amidas,Aldehídos,Glúcidos,Aminoácidos,Alcaloides
2-Hydroxypyridine,2-Hidroxipiridina ,"13-Octadecenoic acid, (E)-","El (E)-Ácido 13-octadecenoico, también conocido como ácido elaídico, es un ácido graso monoinsaturado que se distingue por tener una configuración trans en uno de sus dobles enlaces. Este detalle estructural influye en sus propiedades físicas y biológicas, como la flexibilidad de las membranas celulares, lo cual es vital para mantener las células funcionando adecuadamente. Además, juega un papel importante en la regulación de procesos inflamatorios y metabólicos, contribuyendo a diversas respuestas fisiológicas esenciales.

En las plantas, el (E)-Ácido 13-octadecenoico es un componente crucial de las paredes celulares, ayudando a estructurar y proteger las células vegetales. En la dieta humana, se encuentra en varios aceites vegetales y su presencia es significativa debido a su impacto en la salud cardiovascular y general. A pesar de ser un trans, este ácido graso ocurre naturalmente y difiere de los ácidos grasos trans producidos industrialmente, que están asociados con efectos negativos en la salud.",4-hydroxybenzaldehyde,"Es el precursor del ácido 4-coumarico. Se produce por la unión o condensación de una molécula tipo aldehído con un éster de bajo peso molecular como el mevalonato. Es un compuesto muy versátil , se usa como bloque de construcción para producir aceites esenciales, flavonoides, lignanos. Literatura previa reporta que moléculas derivadas del 4-hidroxibenzaldehído presentaban un efecto inhibidor de la tirosinasa. La tirosinasa es una metaloenzima multifuncional que puede catalizar la oxidación de monofenoles, o-difenoles y o-quinonas. Esta enzima se encuentra ampliamente distribuida en bacterias, hongos, plantas y animales, donde está involucrada en la formación de pigmentos de melanina.",Methyl Palmitate,2-hexenoic acid,2-hexenoic acid,2-Hydroxypyridine,1-hexadecanol,2-Aminobutanoic acid,2-Hydroxypyridine,4-hydroxybenzaldehyde,D-Fructose,DL-Ornithine,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid-(benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-"
Lactic Acid,Ácido Lactico,1-hexadecanol,"El 1-Hexedecanol, también conocido como alcohol cetílico o alcohol palmítico, es un alcohol graso con una cadena de 16 átomos de carbono. Este compuesto juega un papel clave en la estructura y función de las membranas celulares en las plantas, ayudando a mantener su integridad y flexibilidad. Se encuentra en las paredes celulares de las plantas, donde contribuye a proteger y estabilizar las células frente a diversos factores ambientales.

En la industria cosmética, el 1-Hexedecanol es altamente valorado por sus propiedades emolientes, lo que lo hace un componente frecuente en productos como cremas, lociones y champús. Ayuda a suavizar y proteger la piel, manteniéndola hidratada. Además, debido a su capacidad para estabilizar emulsiones, facilita la mezcla de ingredientes aceitosos y acuosos, mejorando la textura y consistencia de los productos. Este alcohol graso también se utiliza en la fabricación de lubricantes y como precursor en la síntesis de otros compuestos químicos utilizados en diversas aplicaciones industriales.",3-0-Coumaroyl-D-quinic acid,"Pertenece a un grupo de compuestos que estan presentes en las paredes celulares de las plantas, provienen de la combinación de dos compuestos diferentes  a saber el ácido p caoumarico y del acido quinico. El ácido p- coumarico pertence a una famila de moleculas derivadas del acido cinamico, muy comun en las mantecas como en  la manteca de karité. Son de naturaleza cerosa y cumplen el rol de impermehabilizar frutos, hojas y flores. Tambien tienen poder antioxidante previniendo el deterioro de las estructuras de las plantas al estar expuestas a la condiciones medioambientales. El acido quínico es un metabolito denominado poliol , por tener varios grupos alcoholes en su estructura , siendo semejante a una gluciodo, como la glucosa o fructosa. Pero a diferencia de estas no tiene un rol metabolico en la descomposición de la gluucosa para producis energía., en cambio sirve de sosten para moleculas de caracter lipidico en las membranas celulares. El ácido quinico es un subproducto de la ruta metabolica que utlizan las lantas para producir aminoacidos , la ruta del ácido shiquimico. Los aminoacidos a su vez son necesarios para construir proteinas y demas estructuras fundamentales para la vida de las plantas. ",1-Monopalmitin,"Oleic, (E)-","2,3-Dihydroxybutanoic acid","8-Azabicyclo[3.2.1]octane-2-carboxylic acid-(benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",Phytosphingosine1,4-Aminobutanoic acid,"9-Octadecenamide, (Z)-",,D-(+)-Glucosamine,Homoserine,Benzoylecgonine
Oxalic acid,Ácido Oxalico,1-Monopalmitin,"El ácido palmítico, conocido también como ácido 1-monopalmitino o palmitato, es un ácido graso saturado que se encuentra ampliamente tanto en el reino animal como en el vegetal. Con una cadena de 16 átomos de carbono,con formula molecualr CH6(CH₂)₁₅COOH, este ácido graso es uno de los más prevalentes en las grasas animales y en aceites vegetales como el de palma y el de coco.

En el cuerpo humano, el ácido palmítico desempeña funciones vitales, siendo un componente crucial de las membranas celulares donde contribuye a su integridad estructural y funcionalidad. Además, está involucrado en procesos metabólicos importantes que incluyen la producción de energía y la señalización celular, esenciales para mantener la salud. Sin embargo, su consumo debe moderarse ya que estudios han vinculado altos niveles de grasas saturadas, como el ácido palmítico, con un aumento en el riesgo de enfermedades cardiovasculares y otros problemas de salud. Por lo tanto, es recomendable equilibrar la dieta con una variedad de grasas, priorizando aquellas con propiedades más beneficiosas para la salud.",5-0-Coumaroyl-D-quinic acid,Es el analogo condensado del acido cumarico con el acido quinico en la posición oxigenada número 5. Es importante en la formación de estrcutruras leñosas de lignano.,Citramalic acid,alpha-Linolenic acid,"2-Butenedioic acid, (E)-",Adenine,Galactinol,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid-(benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",Niacin,,D-(+)-melezitose,L-Alanine,Phenethylamine 
Hydroxylamine,Hidroxilamina ,1-Octacosanol,"El 1-octacosanol es un alcohol graso con una extensa cadena de 28 átomos de carbono, con formila molecular CH28H58O, encontrado principalmente en las ceras que recubren las superficies externas de las plantas. Este componente es crucial, ya que forma una barrera protectora que ayuda a las plantas a conservar agua y les proporciona defensa contra extremos climáticos y contaminantes ambientales. Comúnmente se encuentra en las hojas de eucaliptos, en leguminosas como acacia y trébol, en pastos y cereales, donde frecuentemente es el principal constituyente de sus ceras. El germen de trigo también es una fuente significativa de este compuesto, conocido por su alta concentración de nutrientes.

Además de su función en el reino vegetal, el 1-octacosanol ha sido objeto de estudio por sus potenciales beneficios para la salud humana, incluyendo la mejora del rendimiento físico y la reducción del colesterol. Estos estudios han motivado su uso en suplementos dietéticos y productos de salud natural, valorados especialmente por quienes buscan alternativas naturales para fortalecer la resistencia física y mejorar la salud cardiovascular.",abietic acid,"Es uno de los principales componentes de las resinas que se encuentran en los arboles, posee un efecto irritante que proteje las plantas de los rumiantes. Posee un efecto inhibidor de la producción de la testosterona con potencial efecto en la progesión del cancer de prostata. ",2-Hydroxybutyric acid,HeptadecanoicAcid,2-Aminobutanoic acid,Ethanolamine,1-Octacosanol,D-(+)-Glucosamine ,Niacinamide,,D-Allose,Asparagine,Cocaine
Benzoic Acid,Ácido Benzoico,2-hexenoic acid,"El ácido 2-hexenoico es un ácido graso insaturado con un doble enlace característico entre los carbonos 2 y 3 de su cadena de seis átomos de carbono. Su formula molecular es C6H8O2

Naturalmente, este ácido graso se encuentra en las uvas, donde juega un papel crucial en la definición de los perfiles de aroma y sabor del fruto, influyendo significativamente en las características organolépticas del vino. En la industria, el ácido 2-hexenoico es valorado por su uso en la síntesis de aromas y fragancias, donde contribuye a la creación de sabores y olores específicos que enriquecen productos alimenticios y cosméticos. Además, debido a su origen en recursos renovables y su potencial biodegradable, este ácido está siendo explorado en el desarrollo de plásticos biodegradables y otros materiales sostenibles, destacando su versatilidad y importancia en el avance hacia prácticas más ecológicas.",Caffeic acid,"El acido cafeico es el mayor representante de un grupo de metabolitos denimindados acidos cinamicos , es un precursor en la sintesis de la lignina,la cual es uno de los componentes que la dan dureza y  grosor a las partes leñosas de las plantas.  Tiene propiedades antioxidantes, y algunas moleculas como el CAPE por sus siglas en ingles del fenilester del acido cafeico se han encontrado actividad antifungica , antitumoral y antiviral.  ",2-Propenoic acid,Octanoic acid,2-Hydroxybutyric acid,Phenethylamine,alphatocopherol,Ethanolamine,Oleamide,,D-Gluconic acid,L-Glutamic acid,Ecgonine ethyl ester
Glycerol,Glicerol,2-Hydroxypyridine,"El glicerol, también conocido como glicerina, es un compuesto orgánico derivado principalmente de los triglicéridos, que son las grasas y aceites comunes en muchos alimentos y en el cuerpo humano. Este líquido viscoso y dulce también se produce como subproducto en la fabricación de jabones y mediante la fermentación de azúcares. Debido a su capacidad para absorber agua del ambiente (propiedad higroscópica), el glicerol es ampliamente valorado en diversas industrias.

En el mundo de las plantas, el glicerol juega un papel en la regulación osmótica, ayudando a las plantas a manejar el estrés por sequía y salinidad al ajustar la cantidad de agua dentro de sus células. En aplicaciones industriales y comerciales, se utiliza como solvente y humectante en productos farmacéuticos y cosméticos, proporcionando suavidad y lubricación, y como endulzante en alimentos y bebidas. Su versatilidad también se extiende al uso en la producción de nitroglicerina, que es un componente clave en la fabricación de explosivos y en medicina como un tratamiento para enfermedades cardíacas.",cinnamic acid,"El ácido cinamico es un ácido carboxilico insaturado, se encuentra en gran cantidad en la canela. Es un intermediario principal en la sintesis de lignano, aportando en la dureza de los tallos y la protección física. Tambien es un precursor para la producción de flavonoides, estilbenos, coumarinas. Es un compuesto versatil para la producción de muchos tipos de productos naturales. ",Butanoic acid,"13-Octadecenoic acid, (E)-",2-Keto-l-gluconic acid,Phytosphingosine1,Gallic acid,Hydroxylamine,Phytosphingosine1,,d-Glucose,L-Aspartic acid,Mimosine I
D-Gluconic acid,Ácido D-Gluconico,2-Propenoic acid,"El ácido 2-propenoico, conocido en la industria y la química como ácido acrílico, es un ácido orgánico que se caracteriza por ser incoloro y tener un olor fuerte y penetrante. Este ácido es el más simple de los ácidos carboxílicos insaturados, lo que significa que contiene un doble enlace en su estructura molecular, lo cual afecta sus propiedades y reactividad.",Chlorogenic acid,El acido clorgenico esta constituido por acido cafeico y por acido quinico. Se presenta como respuesta de la planta al estrés medioambiental dificultando el ingreso de hongos y bacterias al momento de presentar laceraciones en hojas y flores. El cosnumo de acido clorogenico en la dieta se ha demostrado que ayuda en la regulació de la absorcion del azucar ayudando la prevención de la diabetes. Tiene efectos en la vasoreaccion caridaca disminuyendo el riesgo de enfermedades cardiacas.,,,2-Propenoic acid,"Pyrrolidine, 2-butyl-1-methyl-",gluconic acid lactonel,L-5-Oxoproline,"N-Methyl-L-proline, pentyl ester",,D-Mannitol,L-Isoleucine,trans-Cinnamoylcocaine
Niacin,Niacina,3-Hydroxybenzoic acid,"El ácido 3-hidroxibenzoico es un ácido orgánico aromático que se destaca en la química por su estructura que incluye un anillo de benzeno con un grupo hidroxilo adjunto. Esta configuración le confiere características únicas como solubilidad mejorada y reactividad química, haciendo que sea valioso en diversas aplicaciones industriales y biológicas.

En la industria de la perfumería, este ácido es apreciado como fijador, una función esencial para prolongar la duración de los aromas en los perfumes sobre la piel. Su capacidad para retener fragancias potencia la persistencia del perfume, mejorando así la experiencia sensorial del consumidor. Adicionalmente, en biología, el ácido 3-hidroxibenzoico está implicado en múltiples rutas metabólicas, participando en la síntesis y modificación de varios metabolitos clave. Esta versatilidad subraya su importancia tanto en aplicaciones prácticas como en procesos biológicos fundamentales.",Ferulic acid,"El acido ferulico es un ácido hidroxicinamico, se encuentra en las paredes celulares de las plantas, actuando como enclaves entre la celulosa y hemicelulosa con las estructuras tipo lignano que le dan soporte y grosor leñoso en las plantas. ",Docosane,,3-0-Coumaroyl-D-quinic acid,Tris(trimethylsilyl)carbamate,Glyceric acid,N-Methyl-L-proline,,,Ethyl .alpha.-D-glucopyranoside,L-Leucine,Trigonelline
Pentadecane,Pentadecano,4-hydroxybenzoic acid,"El ácido acrílico se utiliza ampliamente en la fabricación de plásticos, pinturas, adhesivos y otros productos poliméricos a través de un proceso de polimerización, donde las moléculas del ácido se unen formando cadenas largas. Esto lo convierte en un componente esencial en la producción de resinas acrílicas y poliacrilatos, que son materiales valorados por su resistencia al agua y su durabilidad. Además de su uso industrial, el ácido acrílico también se explora en aplicaciones médicas y sanitarias, como en la fabricación de absorbentes en pañales y otros productos higiénicos debido a su capacidad para formar geles que retienen líquidos.",4-Coumaric acid,"Es un acido cinamico, fundamental para producción de ceras protectoras en las superficies expuestas de las plantas. Se encuentra comunmente como precursor de muchos compuestos tipo lignano, que se encuentran en la masa leñosa de muchas plantas. ",Dotriacontane,,3-Hydroxybenzoic acid,,Glycerol,Phenethylamine,,,Galactaric Acid,L-Lysine,Tropine
L-5-Oxoproline,L-5-Oxoprolina,4-Hydroxycinnamic acid,"El ácido cinámico es un ácido carboxílico insaturado que se encuentra principalmente en la corteza de la canela, pero también está presente en otras plantas. Este compuesto desempeña un papel crucial en la biosíntesis de diversos metabolitos secundarios importantes, incluyendo lignanos, flavonoides, estilbenos y cumarinas. Los lignanos contribuyen a la dureza y resistencia estructural de los tallos de las plantas, proporcionando protección física esencial, mientras que flavonoides y estilbenos juegan roles importantes en la defensa contra patógenos y en la regulación del crecimiento.
",4-0-Coumaroyl-D-quinic acid,"Es una molecula analoga , al ácido coumaroil 3-O-D-quinico. Dado que acido quinico tiene 4  grupos alcohol en su estructura ciclica, el se puede condensar o unir por cualquiera de estos oxigenos. Los oxigenos que pueden condensar son el 3-O, 4-O y el 5-O. ",Eicosane,,4-0-Coumaroyl-D-quinic acid,,1-Monopalmitin,Pipecolic acid,,,Galactinol,L-Norleucine,Ecgonine methyl ester
