compuesto,porcentaje
Methyl Palmitate,0.14
1-Monopalmitin,0.5912500000000001
Citramalic acid,0.07000000000000001
2-Hydroxybutyric acid,0.01
2-Propenoic acid,0.06166666666666667
Butanoic acid,0.04
Docosane,13.45
Dotriacontane,1.22
Eicosane,2.257692307692308
Glycerol,9.461818181818181
Glycerol monostearate,0.55
Heptadecane,0.21
HeptadecanoicAcid,0.7142857142857143
Hexadecane,0.1728571428571428
Hexanedioic acid,0.055
Pentadecane,0.275
Methyl Stearate,2.8515625
Nonadecane,0.5075000000000001
Tetradecane,0.4
Octadecane,0.959230769230769
2-hexenoic acid,0.025
"Oleic, (E)-",5.046
alpha-Linolenic acid,3.3245
HeptadecanoicAcid,0.7142857142857143
Octanoic acid,0.1146153846153846
"13-Octadecenoic acid, (E)-",0.4033333333333333
2-hexenoic acid,0.025
"2,3-Dihydroxybutanoic acid",0.12
"2-Butenedioic acid, (E)-",0.1975
2-Aminobutanoic acid,0.15
2-Hydroxybutyric acid,0.01
2-Keto-l-gluconic acid,0.433
2-Propenoic acid,0.06166666666666667
3-Hydroxybenzoic acid,0.04411764705882354
4-Aminobutanoic acid,4.3
4-hydroxybenzoic acid,0.12
4-Hydroxycinnamic acid,0.33
"9,12-Octadecadienoic acid (Z,Z)-",2.840740740740741
alpha-Linolenic acid,3.3245
Benzoic Acid,0.8342424242424242
Butanedioic acid,0.4123333333333334
"Oleic Acid, (Z)-",6.545
Citric acid,1.402
D-Gluconic acid,0.444
DocosanoicAcid,0.548
Ethylphosphonic acid,0.2364285714285714
Galactaric Acid,0.02
Gallic acid,0.06
gluconic acid lactonel,0.15
Glyceric acid,0.3888888888888888
Gulonic acid,0.3588888888888889
HeptadecanoicAcid,0.7142857142857143
Hexanedioic acid,0.055
Hydracrylic acid,0.255
.beta.-Alanine,0.096
Lactic Acid,1.284545454545455
lauric acid,0.18
L-Glutamic acid,0.1842857142857143
Glycolic acid,0.2092857142857142
Malic acid,1.772307692307692
Methylsuccinic acid,0.04
Myristic acid,0.3866666666666667
Oxalic acid,7.648124999999999
Palmitic Acid,9.592121212121214
palmitoleic acid,0.3842857142857143
Pentanedioic acid,0.133
Petroselinic acid,2.635
Phosphoric acid,0.23
Pipecolic acid,0.055
Propanoic acid,0.06999999999999999
Pyruvic Acid,0.02
Heptadecanoic acid,0.09
quinic acid(S),3.58578947368421
Stearic acid,5.164545454545455
Tyrosine,0.18
Xylonic acid,0.2333333333333333
"13-Octadecenoic acid, (E)-",0.4033333333333333
Iminodiacetic Acid,0.07000000000000001
"2,3,4-Trihydroxybutyric acid",1.106666666666667
"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",0.8520000000000001
2-Hydroxypyridine,0.3431250000000001
Adenine,0.384
Ethanolamine,0.49875
Phenethylamine,0.06
Phytosphingosine1,0.39
"Pyrrolidine, 2-butyl-1-methyl-",0.158
Tris(trimethylsilyl)carbamate,0.216923076923077
1-hexadecanol,0.5862499999999999
Phytosphingosine1,0.39
Galactinol,0.275
1-Octacosanol,7.15551724137931
alphatocopherol,0.4383333333333334
Gallic acid,0.06
gluconic acid lactonel,0.15
Glyceric acid,0.3888888888888888
Glycerol,9.461818181818181
1-Monopalmitin,0.5912500000000001
Glycerol monostearate,0.55
Glyceryl-glycoside ether,0.2916666666666667
L-(-)-Arabitol,2.135
Meso-Erythritol,0.791875
Myo-Inositol,0.7805555555555556
Xylitol,0.1533333333333333
Xylonic acid,0.2333333333333333
Phytol2,6.731538461538463
2-Aminobutanoic acid,0.15
4-Aminobutanoic acid,4.3
Ethanolamine,0.49875
Hydroxylamine,0.05
L-5-Oxoproline,0.8737499999999998
N-Methyl-L-proline,0.2141176470588235
Phenethylamine,0.06
Pipecolic acid,0.055
"Pyrrolidine, 2-butyl-1-methyl-",0.158
delta. Amino levulinic acid tri-,0.5499999999999999
Putrescine,1.035
Iminodiacetic Acid,0.07000000000000001
2-Hydroxypyridine,0.3431250000000001
"9-Octadecenamide, (Z)-",0.7306250000000001
Niacin,0.06142857142857143
Niacinamide,0.0425
Oleamide,3.109666666666667
Phytosphingosine1,0.39
"N-Methyl-L-proline, pentyl ester",0.2518181818181819
D-Fructose,3.081612903225806
D-(+)-Glucosamine,0.4725
D-(+)-melezitose,0.91
D-Allose,1.645
D-Gluconic acid,0.444
d-Glucose,0.575
D-Mannitol,6.934347826086956
Ethyl .alpha.-D-glucopyranoside,0.065
Galactaric Acid,0.02
Galactinol,0.275
Glucopyranose,0.22
Glycerol,9.461818181818181
Glycerol monostearate,0.55
Glyceryl-glycoside ether,0.2916666666666667
Gulonic acid,0.3588888888888889
L-(-)-Arabitol,2.135
Lactose,0.23
DL-Ornithine,0.13
Homoserine,0.04
L-Alanine,0.9163157894736844
Asparagine,0.8814285714285715
L-Glutamic acid,0.1842857142857143
L-Aspartic acid,0.07636363636363637
L-Isoleucine,0.453
L-Leucine,0.105
L-Lysine,0.23
L-Norleucine,0.5542857142857144
L-Phenylalanine,0.37
L-Proline,1.884285714285714
Serine,0.4808695652173913
L-Threonine,0.4062500000000001
L-Valine,0.638695652173913
Glycine,0.157
Tyrosine,0.18
.beta.-Alanine,0.096
4-Aminobutyric acid,0.458
