compuesto,porcentaje
3-0-Coumaroyl-D-quinic acid,0.11
4-0-Coumaroyl-D-quinic acid,0.105
4-Coumaric acid,0.06666666666666667
cinnamic acid,0.3876
5-0-Coumaroyl-D-quinic acid,0.27
abietic acid,3.02909090909091
Chlorogenic acid,0.2233333333333334
Ferulic acid,0.08
Caffeic acid,0.05600000000000001
Protocatechoic acid,0.03545454545454545
Salicylic acid,0.3871428571428571
Shikimic acid,0.6314285714285715
Phytol,0.9450000000000002
Phytol,0.9450000000000002
4-hydroxybenzaldehyde,0.07000000000000001
Mimosine l,0.01
Benzoylecgonine,2.273125
Cocaine,5.770357142857143
Ecgonine ethyl ester,1.208888888888889
trans-Cinnamoylcocaine,1.560869565217391
Trigonelline,0.05
Tropine,0.274
Ecgonine methyl ester,4.126666666666667
Ecgonine,8.14315789473684
