compuesto,porcentaje
1-Monopalmitin,0.216
2-Propenoic acid,0.02
Butanoic acid,0.02
Dotriacontane,1.22
Eicosane,1.103333333333333
Glycerol,5.336666666666667
HeptadecanoicAcid,1.916666666666667
Hexadecane,0.1666666666666667
Pentadecane,0.15
Methyl Stearate,1.273333333333333
Tetradecane,0.45
Octadecane,0.6
"Oleic, (E)-",7.925000000000001
alpha-Linolenic acid,2.986666666666667
HeptadecanoicAcid,1.916666666666667
Octanoic acid,0.07500000000000001
"13-Octadecenoic acid, (E)-",0.15
"2,3-Dihydroxybutanoic acid",0.28
"2-Butenedioic acid, (E)-",0.305
2-Keto-l-gluconic acid,0.155
2-Propenoic acid,0.02
3-Hydroxybenzoic acid,0.005
4-Aminobutanoic acid,6.07
4-Coumaric acid,0.07500000000000001
cinnamic acid,0.1225
"9,12-Octadecadienoic acid (Z,Z)-",6.404999999999999
abietic acid,6.325
alpha-Linolenic acid,2.986666666666667
Benzoic Acid,2.191666666666666
Butanedioic acid,0.8650000000000001
Chlorogenic acid,0.11
Citric acid,0.4399999999999999
D-Gluconic acid,0.11
DocosanoicAcid,0.7300000000000001
Ethylphosphonic acid,0.605
Ferulic acid,0.05
Gallic acid,0.01
Glyceric acid,0.33
Gulonic acid,0.45
HeptadecanoicAcid,1.916666666666667
.beta.-Alanine,0.12
Lactic Acid,0.9033333333333334
Caffeic acid,0.035
lauric acid,0.17
L-Glutamic acid,0.14
Glycolic acid,0.1525
Malic acid,4.416666666666667
Methylsuccinic acid,0.04
Myristic acid,0.06
Oxalic acid,3.203333333333333
Palmitic Acid,10.18833333333333
palmitoleic acid,0.6133333333333334
Pentanedioic acid,0.1133333333333333
Petroselinic acid,2.635
Propanoic acid,0.06
Protocatechoic acid,0.03
Pyruvic Acid,0.02
quinic acid(S),5.2825
Salicylic acid,0.052
Shikimic acid,0.38
Stearic acid,3.696666666666667
Xylonic acid,0.25
"13-Octadecenoic acid, (E)-",0.15
Phytol,0.19
2-Hydroxypyridine,0.37
Adenine,0.305
"Pyrrolidine, 2-butyl-1-methyl-",0.22
Tris(trimethylsilyl)carbamate,0.105
1-hexadecanol,0.51
1-Octacosanol,10.86
alphatocopherol,0.47
Gallic acid,0.01
Glyceric acid,0.33
Glycerol,5.336666666666667
1-Monopalmitin,0.216
Glyceryl-glycoside ether,0.305
L-(-)-Arabitol,1.25
Meso-Erythritol,1.556666666666667
Myo-Inositol,0.95
Phytol,0.19
Xylitol,0.13
Xylonic acid,0.25
Phytol2,5.932
4-Aminobutanoic acid,6.07
Hydroxylamine,0.04
L-5-Oxoproline,1.451666666666666
N-Methyl-L-proline,0.345
"Pyrrolidine, 2-butyl-1-methyl-",0.22
delta. Amino levulinic acid tri-,1.085
Putrescine,2.05
2-Hydroxypyridine,0.37
"9-Octadecenamide, (Z)-",0.6833333333333332
Niacin,0.06399999999999999
Oleamide,1.79
"N-Methyl-L-proline, pentyl ester",0.13
4-hydroxybenzaldehyde,0.07000000000000001
D-(+)-Glucosamine,0.27
D-Allose,0.3683333333333333
D-Gluconic acid,0.11
D-Mannitol,1.74
Glucopyranose,0.25
Glycerol,5.336666666666667
Glyceryl-glycoside ether,0.305
Gulonic acid,0.45
L-(-)-Arabitol,1.25
L-Alanine,1.1525
L-Glutamic acid,0.14
L-Aspartic acid,0.0475
L-Isoleucine,0.6975
L-Leucine,0.09
L-Lysine,0.06
L-Norleucine,0.74
L-Phenylalanine,0.5366666666666666
L-Proline,1.836666666666667
Serine,0.9133333333333334
L-Threonine,0.5233333333333333
L-Valine,0.91
Glycine,0.16
.beta.-Alanine,0.12
4-Aminobutyric acid,0.67
Benzoylecgonine,1.866666666666666
Cocaine,12.21
trans-Cinnamoylcocaine,0.4425
Trigonelline,0.045
Tropine,0.12
Ecgonine methyl ester,1.185
Ecgonine,3.43
