compuesto,porcentaje
3-0-Coumaroyl-D-quinic acid,0.08
4-0-Coumaroyl-D-quinic acid,0.08
4-Coumaric acid,0.0975
cinnamic acid,0.2125
5-0-Coumaroyl-D-quinic acid,0.27
abietic acid,3.038333333333334
Chlorogenic acid,0.22
Ferulic acid,0.155
Caffeic acid,0.08499999999999999
Protocatechoic acid,0.03333333333333333
Salicylic acid,0.16
Shikimic acid,1.083333333333333
Phytol,1.083333333333333
Phytol,1.083333333333333
Mimosine l,0.01
Benzoylecgonine,0.6950000000000001
Cocaine,3.125714285714286
Ecgonine ethyl ester,2.596666666666667
trans-Cinnamoylcocaine,0.2
Trigonelline,0.095
Tropine,0.4375
Ecgonine methyl ester,5.7075
Ecgonine,11.212
